"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2013,1,1,2.002,1.074
2013,1,2,1.642,1.056
2013,1,3,1.833,1.176
2013,2,1,1.196,0.841
2013,2,2,1.659,0.593
2013,2,3,0.407,0.341
2013,3,1,0.201,0.598
2013,3,2,0.819,0.444
2013,3,3,0.868,0.326
2013,4,1,0.076,0.02
2013,4,2,0.066,0.02
2013,4,3,0.194,0.032
2013,5,1,0.015,0.025
2013,5,2,0.083,0.395
2013,5,3,2.752,5.576
2013,6,1,102.542,30.23
2013,6,2,112.635,60.365
2013,6,3,110.608,48.995
2013,7,1,83.473,58.392
2013,7,2,87.14,61.914
2013,7,3,87.654,82.265
2013,8,1,60.51,65.529
2013,8,2,30.944,43.245
2013,8,3,61.507,71.775
2013,9,1,14.703,64.365
2013,9,2,74.615,39.574
2013,9,3,84.069,40.056
2013,10,1,54.792,19.044
2013,10,2,4.882,8.51
2013,10,3,5.728,4.485
2013,11,1,1,3.431
2013,11,2,0.561,3.498
2013,11,3,2.426,1.929
2013,12,1,1.466,1.01
2013,12,2,1.066,0.917
2013,12,3,1.152,1.007
2014,1,1,1.164,1.074
2014,1,2,1.218,1.056
2014,1,3,1.721,1.176
2014,2,1,1.201,0.841
2014,2,2,1.14,0.593
2014,2,3,3.169,0.341
2014,3,1,4.118,0.598
2014,3,2,2.162,0.444
2014,3,3,0.39,0.326
2014,4,1,0.049,0.02
2014,4,2,0.034,0.02
2014,4,3,0.14,0.032
2014,5,1,0.027,0.025
2014,5,2,0.169,0.395
2014,5,3,2.25,5.576
2014,6,1,10.404,30.23
2014,6,2,15.071,60.365
2014,6,3,3.074,48.995
2014,7,1,32.096,58.392
2014,7,2,95.235,61.914
2014,7,3,150.147,82.265
2014,8,1,13.904,65.529
2014,8,2,8.397,43.245
2014,8,3,152.873,71.775
2014,9,1,125.12,64.365
2014,9,2,5.831,39.574
2014,9,3,2.159,40.056
2014,10,1,1.439,19.044
2014,10,2,3.787,8.51
2014,10,3,4.113,4.485
2014,11,1,1.365,3.431
2014,11,2,15.667,3.498
2014,11,3,1.277,1.929
2014,12,1,1.248,1.01
2014,12,2,2.208,0.917
2014,12,3,1.113,1.007
2015,1,1,2.353,1.074
2015,1,2,2.181,1.056
2015,1,3,2.172,1.176
2015,2,1,1.973,0.841
2015,2,2,0.772,0.593
2015,2,3,0.554,0.341
2015,3,1,0.968,0.598
2015,3,2,5.603,0.444
2015,3,3,3.956,0.326
2015,4,1,0.098,0.02
2015,4,2,0.255,0.02
2015,4,3,0.179,0.032
2015,5,1,0.034,0.025
2015,5,2,0.083,0.395
2015,5,3,1.074,5.576
2015,6,1,20.142,30.23
2015,6,2,142.311,60.365
2015,6,3,55.189,48.995
2015,7,1,8.23,58.392
2015,7,2,56.007,61.914
2015,7,3,104.782,82.265
2015,8,1,55.98,65.529
2015,8,2,36.681,43.245
2015,8,3,15.047,71.775
2015,9,1,17.522,64.365
2015,9,2,133.718,39.574
2015,9,3,2.02,40.056
2015,10,1,8.12,19.044
2015,10,2,1.294,8.51
2015,10,3,2.819,4.485
2015,11,1,2.985,3.431
2015,11,2,0.98,3.498
2015,11,3,5.282,1.929
2015,12,1,1.039,1.01
2015,12,2,1.01,0.917
2015,12,3,1.054,1.007