"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,1.539,1.074
2016,1,2,1.164,1.056
2016,1,3,1.191,1.176
2016,2,1,0.618,0.841
2016,2,2,1.125,0.593
2016,2,3,1.137,0.341
2016,3,1,1.395,0.598
2016,3,2,0.287,0.444
2016,3,3,0.907,0.326
2016,4,1,0.025,0.02
2016,4,2,0.017,0.02
2016,4,3,0.022,0.032
2016,5,1,0.233,0.025
2016,5,2,0.287,0.395
2016,5,3,1.988,5.576
2016,6,1,8.5,30.23
2016,6,2,22.441,60.365
2016,6,3,94.635,48.995
2016,7,1,185.816,58.392
2016,7,2,101.547,61.914
2016,7,3,88.005,82.265
2016,8,1,82.262,65.529
2016,8,2,11.054,43.245
2016,8,3,39.551,71.775
2016,9,1,4.324,64.365
2016,9,2,96.199,39.574
2016,9,3,52.593,40.056
2016,10,1,56.826,19.044
2016,10,2,4.059,8.51
2016,10,3,6.076,4.485
2016,11,1,1,3.431
2016,11,2,0.728,3.498
2016,11,3,1,1.929
2016,12,1,0.99,1.01
2016,12,2,0.946,0.917
2016,12,3,1,1.007
2017,1,1,1.181,1.074
2017,1,2,1.159,1.056
2017,1,3,1.223,1.176
2017,2,1,0.652,0.841
2017,2,2,0.659,0.593
2017,2,3,0.292,0.341
2017,3,1,0.772,0.598
2017,3,2,0.216,0.444
2017,3,3,0.385,0.326
2017,4,1,0.022,0.02
2017,4,2,0.02,0.02
2017,4,3,0.017,0.032
2017,5,1,0.059,0.025
2017,5,2,0.228,0.395
2017,5,3,3.449,5.576
2017,6,1,88.838,30.23
2017,6,2,40.586,60.365
2017,6,3,26.517,48.995
2017,7,1,19.689,58.392
2017,7,2,73.87,61.914
2017,7,3,49.279,82.265
2017,8,1,6.169,65.529
2017,8,2,61.458,43.245
2017,8,3,110.449,71.775
2017,9,1,22.554,64.365
2017,9,2,138.855,39.574
2017,9,3,7.343,40.056
2017,10,1,32.387,19.044
2017,10,2,13.181,8.51
2017,10,3,1.62,4.485
2017,11,1,1,3.431
2017,11,2,0.782,3.498
2017,11,3,2.348,1.929
2017,12,1,1.919,1.01
2017,12,2,1.365,0.917
2017,12,3,1.012,1.007
2018,1,1,1.145,1.074
2018,1,2,1.162,1.056
2018,1,3,1.191,1.176
2018,2,1,2.005,0.841
2018,2,2,2.581,0.593
2018,2,3,0.331,0.341
2018,3,1,0.363,0.598
2018,3,2,0.679,0.444
2018,3,3,0.502,0.326
2018,4,1,0.098,0.02
2018,4,2,0.049,0.02
2018,4,3,0.162,0.032
2018,5,1,0.005,0.025
2018,5,2,0.02,0.395
2018,5,3,0.995,5.576
2018,6,1,60.745,30.23
2018,6,2,21.816,60.365
2018,6,3,73.488,48.995
2018,7,1,86.304,58.392
2018,7,2,93.838,61.914
2018,7,3,44.9,82.265
2018,8,1,17.007,65.529
2018,8,2,96.828,43.245
2018,8,3,41.713,71.775
2018,9,1,2.667,64.365
2018,9,2,8.431,39.574
2018,9,3,59.51,40.056
2018,10,1,1.225,19.044
2018,10,2,2.792,8.51
2018,10,3,1.877,4.485
2018,11,1,8.086,3.431
2018,11,2,2.056,3.498
2018,11,3,1,1.929
2018,12,1,1.279,1.01
2018,12,2,0.946,0.917
2018,12,3,1,1.007