"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2007,1,1,1.083,1.074
2007,1,2,1.02,1.056
2007,1,3,1.235,1.176
2007,2,1,0.689,0.841
2007,2,2,0.637,0.593
2007,2,3,0.328,0.341
2007,3,1,0.189,0.598
2007,3,2,0.191,0.444
2007,3,3,0.304,0.326
2007,4,1,0.076,0.02
2007,4,2,0.061,0.02
2007,4,3,0.353,0.032
2007,5,1,0.025,0.025
2007,5,2,0.267,0.395
2007,5,3,1.341,5.576
2007,6,1,47.838,30.23
2007,6,2,58.431,60.365
2007,6,3,69.135,48.995
2007,7,1,153.422,58.392
2007,7,2,13.044,61.914
2007,7,3,104.919,82.265
2007,8,1,149.917,65.529
2007,8,2,33.488,43.245
2007,8,3,102.676,71.775
2007,9,1,80.929,64.365
2007,9,2,69.887,39.574
2007,9,3,64.466,40.056
2007,10,1,0.792,19.044
2007,10,2,0.934,8.51
2007,10,3,1.694,4.485
2007,11,1,8.669,3.431
2007,11,2,0.985,3.498
2007,11,3,1,1.929
2007,12,1,0.966,1.01
2007,12,2,0.902,0.917
2007,12,3,1,1.007
2008,1,1,1.11,1.074
2008,1,2,1.054,1.056
2008,1,3,1.115,1.176
2008,2,1,0.588,0.841
2008,2,2,0.581,0.593
2008,2,3,0.292,0.341
2008,3,1,1.056,0.598
2008,3,2,0.792,0.444
2008,3,3,0.975,0.326
2008,4,1,0.172,0.02
2008,4,2,0.02,0.02
2008,4,3,0.025,0.032
2008,5,1,0.012,0.025
2008,5,2,0.056,0.395
2008,5,3,1.066,5.576
2008,6,1,32.184,30.23
2008,6,2,15.73,60.365
2008,6,3,32.924,48.995
2008,7,1,40.691,58.392
2008,7,2,14.841,61.914
2008,7,3,93.167,82.265
2008,8,1,116.831,65.529
2008,8,2,32.645,43.245
2008,8,3,49.936,71.775
2008,9,1,129.248,64.365
2008,9,2,88.569,39.574
2008,9,3,3.922,40.056
2008,10,1,16.478,19.044
2008,10,2,1.071,8.51
2008,10,3,1.348,4.485
2008,11,1,1.002,3.431
2008,11,2,2.752,3.498
2008,11,3,1.12,1.929
2008,12,1,1.387,1.01
2008,12,2,0.966,0.917
2008,12,3,1,1.007
2009,1,1,1.105,1.074
2009,1,2,1.326,1.056
2009,1,3,1.255,1.176
2009,2,1,0.583,0.841
2009,2,2,0.578,0.593
2009,2,3,0.559,0.341
2009,3,1,0.355,0.598
2009,3,2,1.966,0.444
2009,3,3,0.404,0.326
2009,4,1,0.184,0.02
2009,4,2,0.02,0.02
2009,4,3,0.056,0.032
2009,5,1,0.017,0.025
2009,5,2,4.387,0.395
2009,5,3,1.267,5.576
2009,6,1,8.88,30.23
2009,6,2,14.358,60.365
2009,6,3,58.336,48.995
2009,7,1,70.919,58.392
2009,7,2,75.037,61.914
2009,7,3,102.669,82.265
2009,8,1,4.103,65.529
2009,8,2,33.963,43.245
2009,8,3,68.289,71.775
2009,9,1,90.814,64.365
2009,9,2,4.353,39.574
2009,9,3,16.475,40.056
2009,10,1,46.275,19.044
2009,10,2,1.071,8.51
2009,10,3,1.424,4.485
2009,11,1,19.306,3.431
2009,11,2,21.706,3.498
2009,11,3,2.86,1.929
2009,12,1,1.206,1.01
2009,12,2,1.157,0.917
2009,12,3,1.324,1.007