"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,1.338,1.074
2019,1,2,1.162,1.056
2019,1,3,1.191,1.176
2019,2,1,0.669,0.841
2019,2,2,0.657,0.593
2019,2,3,0.382,0.341
2019,3,1,0.069,0.598
2019,3,2,0.201,0.444
2019,3,3,0.38,0.326
2019,4,1,0.032,0.02
2019,4,2,0.218,0.02
2019,4,3,0.022,0.032
2019,5,1,0.005,0.025
2019,5,2,0.017,0.395
2019,5,3,1.002,5.576
2019,6,1,11.914,30.23
2019,6,2,9.73,60.365
2019,6,3,101.77,48.995
2019,7,1,84.689,58.392
2019,7,2,38.527,61.914
2019,7,3,91.196,82.265
2019,8,1,123.799,65.529
2019,8,2,29,43.245
2019,8,3,47.282,71.775
2019,9,1,76.446,64.365
2019,9,2,105.659,39.574
2019,9,3,111.123,40.056
2019,10,1,10.801,19.044
2019,10,2,4.679,8.51
2019,10,3,36.689,4.485
2019,11,1,15.039,3.431
2019,11,2,0.951,3.498
2019,11,3,1.956,1.929
2019,12,1,1.042,1.01
2019,12,2,1.515,0.917
2019,12,3,1.456,1.007
2020,1,1,1.201,1.074
2020,1,2,1.297,1.056
2020,1,3,1.228,1.176
2020,2,1,0.806,0.841
2020,2,2,0.75,0.593
2020,2,3,1.243,0.341
2020,3,1,0.419,0.598
2020,3,2,1.471,0.444
2020,3,3,1.348,0.326
2020,4,1,,0.02
2020,4,2,,0.02
2020,4,3,,0.032
2020,5,1,,0.025
2020,5,2,,0.395
2020,5,3,,5.576
2020,6,1,,30.23
2020,6,2,,60.365
2020,6,3,,48.995
2020,7,1,,58.392
2020,7,2,,61.914
2020,7,3,,82.265
2020,8,1,,65.529
2020,8,2,,43.245
2020,8,3,,71.775
2020,9,1,,64.365
2020,9,2,,39.574
2020,9,3,,40.056
2020,10,1,,19.044
2020,10,2,,8.51
2020,10,3,,4.485
2020,11,1,,3.431
2020,11,2,,3.498
2020,11,3,,1.929
2020,12,1,,1.01
2020,12,2,,0.917
2020,12,3,,1.007