0,retail,mandi,arrival,events
2007-06-08,750.0,850.0,0.2,8
2007-06-09,750.0,1250.0,0.1,8
2007-06-10,750.0,1650.0,1156.0,8
2007-06-11,750.0,1250.0,0.3,8
2007-06-12,750.0,600.0,2.0,8
2007-06-13,750.0,550.0,1707.0,8
2007-06-14,750.0,510.0,1434.0,8
2007-06-15,750.0,625.0,1663.0,8
2007-06-16,750.0,625.0,1560.0,8
2007-06-17,750.0,643.0,871.0,8
2007-06-18,750.0,675.0,266.0,8
2007-06-19,750.0,700.0,2975.0,8
2007-06-20,750.0,725.0,1881.0,8
2007-06-21,750.0,700.0,0.2,8
2007-06-22,750.0,668.0,0.12,8
2007-06-23,750.0,650.0,0.1,8
2007-06-24,750.0,725.0,0.45,8
2007-06-25,750.0,800.0,0.8,8
2007-06-26,750.0,800.0,0.1,8
2007-06-27,750.0,750.0,0.2,8
2007-06-28,750.0,750.0,0.3,8
2007-06-29,750.0,750.0,0.1,8
2007-06-30,750.0,879.0,202.0,8
2007-07-01,750.0,1120.0,577.0,8
2007-07-02,750.0,1250.0,779.0,8
2007-07-03,750.0,978.0,471.0,8
2007-07-04,750.0,650.0,164.0,8
2007-07-05,750.0,575.0,302.0,8
2007-07-06,750.0,425.0,1694.0,8
2010-12-13,280.0,179.0,231.0,9
2010-12-14,280.0,183.0,139.0,9
2010-12-15,290.0,195.0,124.0,9
2010-12-16,290.0,195.0,121.0,9
2010-12-17,342.0,252.0,872.0,9
2010-12-18,420.0,317.0,800.0,9
2010-12-19,456.0,337.0,753.0,9
2010-12-20,500.0,345.0,730.0,9
2010-12-21,620.0,340.0,114.0,9
2010-12-22,560.0,278.0,908.0,9
2010-12-23,480.0,270.0,124.0,9
2010-12-24,400.0,255.0,557.0,9
2010-12-25,402.0,268.0,100.0,9
2010-12-26,409.0,270.0,565.0,9
2010-12-27,420.0,272.0,124.0,9
2010-12-28,450.0,293.0,772.0,9
2010-12-29,550.0,366.0,450.0,9
2010-12-30,500.0,322.0,426.0,9
2010-12-31,520.0,317.0,102.0,9
2011-01-01,514.0,332.0,440.0,9
2011-01-02,505.0,124.0,727.0,9
2011-01-03,500.0,754.0,855.0,9
2011-01-04,520.0,663.0,767.0,9
2011-01-05,500.0,665.0,840.0,9
2011-01-06,550.0,675.0,975.0,9
2011-01-07,600.0,741.0,112.0,9
2011-01-08,550.0,925.0,294.0,9
2011-01-09,539.0,124.0,919.0,9
2011-01-10,520.0,112.0,175.0,9
2011-01-12,525.0,810.0,190.0,10
2011-01-13,550.0,397.0,165.0,10
2011-01-14,500.0,322.0,476.0,10
2011-01-15,480.0,252.0,104.0,10
2011-01-16,466.0,247.0,753.0,10
2011-01-17,460.0,246.0,457.0,10
2011-01-18,480.0,246.0,111.0,10
2011-01-19,450.0,240.0,532.0,10
2011-01-20,450.0,236.0,702.0,10
2011-01-21,450.0,214.0,771.0,10
2011-01-22,450.0,210.0,855.0,10
2011-01-23,425.0,196.0,543.0,10
2011-01-24,400.0,186.0,231.0,10
2011-01-25,450.0,187.0,855.0,10
2011-01-26,433.0,166.0,651.0,10
2011-01-27,400.0,139.0,447.0,10
2011-01-28,350.0,131.0,161.0,10
2011-01-29,300.0,137.0,119.0,10
2011-01-30,300.0,127.0,686.0,10
2011-01-31,300.0,116.0,385.0,10
2011-02-01,300.0,121.0,475.0,10
2011-02-02,280.0,127.0,662.0,10
2011-02-03,250.0,754.0,953.0,10
2011-02-04,250.0,643.0,226.0,10
2011-02-05,250.0,516.0,103.0,10
2011-02-06,250.0,441.0,909.0,10
2011-02-07,250.0,759.0,145.0,10
2011-02-08,200.0,916.0,139.0,10
2011-02-09,200.0,124.0,758.0,10
2013-11-25,500.0,289.0,325.0,11
2013-11-26,450.0,264.0,129.0,11
2013-11-27,450.0,261.0,140.0,11
2013-11-28,450.0,248.0,131.0,11
2013-11-29,450.0,235.0,118.0,11
2013-11-30,450.0,234.0,113.0,11
2013-12-01,450.0,117.0,119.0,11
2013-12-02,450.0,157.0,144.0,11
2013-12-03,400.0,106.0,514.0,11
2013-12-04,400.0,925.0,125.0,11
2013-12-05,400.0,956.0,113.0,11
2013-12-06,400.0,105.0,100.0,11
2013-12-07,400.0,198.0,130.0,11
2013-12-08,400.0,478.0,437.0,11
2013-12-09,400.0,441.0,905.0,11
2013-12-10,400.0,407.0,789.0,11
2013-12-11,350.0,410.0,192.0,11
2013-12-12,350.0,199.0,124.0,11
2013-12-13,350.0,180.0,121.0,11
2013-12-14,350.0,180.0,155.0,11
2013-12-15,350.0,160.0,952.0,11
2013-12-16,350.0,139.0,346.0,11
2013-12-17,350.0,139.0,129.0,11
2013-12-18,350.0,126.0,983.0,11
2013-12-19,350.0,126.0,101.0,11
2013-12-20,350.0,135.0,790.0,11
2013-12-21,300.0,134.0,861.0,11
2013-12-22,300.0,135.0,606.0,11
2013-12-23,300.0,136.0,351.0,11
2015-10-14,450.0,256.0,101.0,12
2015-10-15,480.0,261.0,417.0,12
2015-10-16,500.0,264.0,371.0,12
2015-10-17,500.0,272.0,475.0,12
2015-10-18,500.0,270.0,672.0,12
2015-10-19,500.0,267.0,807.0,12
2015-10-20,500.0,267.0,807.0,12
2015-10-21,480.0,261.0,144.0,12
2015-10-22,460.0,257.0,102.0,12
2015-10-23,450.0,259.0,988.0,12
2015-10-24,458.0,264.0,956.0,12
2015-10-25,478.0,271.0,577.0,12
2015-10-26,500.0,283.0,228.0,12
2015-10-27,520.0,306.0,539.0,12
2015-10-28,550.0,332.0,534.0,12
2015-10-29,550.0,302.0,138.0,12
2015-10-30,520.0,284.0,151.0,12
2015-10-31,500.0,265.0,184.0,12
2015-11-01,500.0,229.0,131.0,12
2015-11-02,500.0,184.0,779.0,12
2015-11-03,480.0,150.0,101.0,12
2015-11-04,450.0,134.0,953.0,12
2015-11-05,420.0,137.0,429.0,12
2015-11-06,400.0,164.0,126.0,12
2015-11-07,400.0,165.0,880.0,12
2015-11-08,390.0,273.0,943.0,12
2015-11-09,380.0,404.0,104.0,12
2015-11-10,400.0,346.0,914.0,12
2015-11-11,410.0,238.0,789.0,12
2016-04-07,170.0,723.0,142.0,13
2016-04-08,160.0,816.0,858.0,13
2016-04-09,160.0,705.0,830.0,13
2016-04-10,160.0,594.0,752.0,13
2016-04-11,160.0,693.0,447.0,13
2016-04-12,170.0,754.0,476.0,13
2016-04-13,160.0,786.0,532.0,13
2016-04-14,160.0,792.0,596.0,13
2016-04-15,160.0,797.0,944.0,13
2016-04-16,160.0,801.0,104.0,13
2016-04-17,160.0,803.0,609.0,13
2016-04-18,160.0,804.0,173.0,13
2016-04-19,160.0,783.0,157.0,13
2016-04-20,160.0,783.0,797.0,13
2016-04-21,160.0,822.0,120.0,13
2016-04-22,160.0,822.0,779.0,13
2016-04-23,160.0,822.0,122.0,13
2016-04-24,155.0,802.0,640.0,13
2016-04-25,150.0,783.0,58.0,13
2016-04-26,150.0,783.0,144.0,13
2016-04-27,150.0,783.0,145.0,13
2016-04-28,150.0,783.0,129.0,13
2016-04-29,150.0,779.0,106.0,13
2016-04-30,140.0,768.0,133.0,13
2016-05-01,140.0,126.0,117.0,13
2016-05-02,140.0,916.0,125.0,13
2016-05-03,140.0,885.0,619.0,13
2016-05-04,140.0,858.0,167.0,13
2016-05-05,140.0,721.0,112.0,13
2017-05-24,160.0,619.0,648.0,14
2017-05-25,160.0,575.0,102.0,14
2017-05-26,160.0,572.0,105.0,14
2017-05-27,160.0,572.0,106.0,14
2017-05-28,170.0,600.0,665.0,14
2017-05-29,180.0,628.0,271.0,14
2017-05-30,180.0,628.0,155.0,14
2017-05-31,180.0,594.0,132.0,14
2017-06-01,150.0,817.0,759.0,14
2017-06-02,160.0,715.0,144.0,14
2017-06-03,160.0,758.0,545.0,14
2017-06-04,155.0,758.0,130.0,14
2017-06-05,150.0,697.0,907.0,14
2017-06-06,160.0,686.0,119.0,14
2017-06-07,180.0,709.0,103.0,14
2017-06-08,200.0,117.0,835.0,14
2017-06-09,200.0,162.0,715.0,14
2017-06-10,200.0,144.0,112.0,14
2017-06-11,200.0,239.0,399.0,14
2017-06-12,200.0,161.0,762.0,14
2017-06-13,200.0,839.0,173.0,14
2017-06-14,200.0,842.0,119.0,14
2017-06-15,200.0,811.0,117.0,14
2017-06-16,200.0,733.0,125.0,14
2017-06-17,200.0,708.0,162.0,14
2017-06-18,200.0,763.0,900.0,14
2017-06-19,200.0,819.0,177.0,14
2017-06-20,200.0,778.0,126.0,14
2017-06-21,200.0,761.0,874.0,14
2019-09-13,450.0,216.0,795.0,15
2019-09-14,450.0,229.0,104.0,15
2019-09-15,450.0,269.0,564.0,15
2019-09-16,450.0,301.0,82.0,15
2019-09-17,450.0,298.0,960.0,15
2019-09-18,500.0,316.0,811.0,15
2019-09-19,500.0,309.0,116.0,15
2019-09-20,650.0,337.0,102.0,15
2019-09-21,600.0,366.0,137.0,15
2019-09-22,600.0,368.0,842.0,15
2019-09-23,600.0,368.0,313.0,15
2019-09-24,600.0,366.0,150.0,15
2019-09-25,600.0,352.0,973.0,15
2019-09-26,600.0,326.0,119.0,15
2019-09-27,650.0,326.0,698.0,15
2019-09-28,650.0,330.0,609.0,15
2019-09-29,625.0,328.0,386.0,15
2019-09-30,600.0,323.0,221.0,15
2019-10-01,600.0,279.0,239.0,15
2019-10-02,600.0,190.0,295.0,15
2019-10-03,600.0,103.0,391.0,15
2019-10-04,600.0,640.0,527.0,15
2019-10-05,550.0,815.0,105.0,15
2019-10-06,550.0,861.0,238.0,15
2019-10-07,550.0,106.0,936.0,15
2019-10-08,575.0,149.0,130.0,15
2019-10-09,600.0,217.0,146.0,15
2019-10-10,600.0,329.0,463.0,15
2019-10-11,600.0,324.0,100.0,15
