2011-12-24,supply
2012-01-01,supply
2012-02-01,supply
2012-05-04,no
2012-08-09,no
2012-12-01,supply
2013-03-02,no
2013-04-28,no
2013-07-07,no
2013-09-12,no
2013-11-12,no
2014-01-02,supply
2014-01-13,supply
2014-03-02,supply
2014-05-06,no
2014-08-02,supply
2014-10-10,no
2015-01-18,supply
2015-03-04,supply
2015-05-01,no
2015-07-18,no
2015-10-04,supply
2015-12-27,no
2016-02-12,no
2016-04-29,no
2016-06-12,no
2016-09-30,no
2016-12-18,supply
2017-03-05,supply
2017-06-04,no
2017-08-28,no
2017-11-01,supply
2017-12-24,supply
2018-01-13,supply
2018-05-23,no
2018-07-10,no
2018-09-12,no
