2011-01-02,supply
2011-01-27,supply
2011-03-07,no
2011-05-24,no
2011-07-28,no
2011-10-10,no
2011-12-24,supply
2012-01-02,supply
2012-03-04,no
2012-05-12,no
2012-08-01,no
2012-10-09,no
2012-12-01,supply
2013-01-13,no
2013-03-14,no
2013-06-09,no
2013-09-28,no
2014-01-03,supply
2014-03-03,supply
2014-05-19,no
2014-08-03,supply
2013-11-29,no
2015-01-20,supply
2015-02-24,supply
2015-03-16,supply
2015-05-19,no
2015-07-12,no
2015-10-03,supply
2017-03-15,supply
2018-01-01,supply
2018-05-05,no
2018-09-27,no
