,0
0,3851.056884765625
1,3810.3154296875
2,3697.203857421875
3,3855.84326171875
4,3839.774658203125
5,3708.860107421875
6,3765.056396484375
7,3728.08349609375
8,3846.518310546875
9,3670.830322265625
10,3706.974609375
11,3577.31005859375
12,3607.85986328125
13,3671.40869140625
14,3789.554443359375
15,3709.122314453125
16,3723.296142578125
17,3561.740478515625
18,3529.701904296875
19,3553.005126953125
20,3593.547119140625
21,3477.1064453125
22,3402.958740234375
23,3410.0810546875
24,3586.477783203125
25,3462.240478515625
26,3395.486572265625
27,3604.5087890625
28,3350.96728515625
29,3560.98486328125
30,3961.8642578125
31,3907.943603515625
32,3916.861572265625
33,3920.462646484375
34,3807.160888671875
35,3840.520263671875
36,3707.798828125
37,3763.12255859375
38,3734.18017578125
39,3837.8466796875
40,3744.64892578125
41,3827.60791015625
42,3854.09521484375
43,3771.760986328125
44,3869.124755859375
45,3768.61767578125
46,3806.578857421875
47,3787.768798828125
48,3760.44921875
49,3810.865234375
50,3746.20556640625
51,3740.0234375
52,3763.21142578125
53,3642.109130859375
54,3662.092529296875
55,3695.735595703125
56,3748.19140625
57,3800.276123046875
58,3644.04736328125
59,3796.492919921875
60,3875.7509765625
61,4061.2177734375
62,4135.62744140625
63,3937.49365234375
64,3760.9619140625
65,3899.542236328125
66,3751.105712890625
67,3656.52490234375
68,3647.965576171875
69,3586.2060546875
70,3741.05615234375
71,3756.953369140625
72,3801.92333984375
73,3716.166259765625
74,3813.630615234375
75,3722.343994140625
76,3701.843505859375
77,3722.250244140625
78,3620.587646484375
79,3555.33447265625
80,3653.5576171875
81,3592.868408203125
82,3654.6904296875
83,3586.445068359375
84,3622.506103515625
85,3571.580810546875
86,3677.143310546875
87,3788.351318359375
88,3488.422119140625
89,3663.341796875
90,4011.678955078125
91,4041.41357421875
92,3899.76220703125
93,3767.50732421875
94,3992.817626953125
95,3918.01953125
96,3707.045654296875
97,3907.34765625
98,3777.53271484375
99,3879.209716796875
100,3727.440185546875
101,3970.37060546875
102,3901.830078125
103,3968.006103515625
104,3757.296142578125
105,3878.924560546875
106,3952.48974609375
107,3910.703125
108,3721.12646484375
109,3964.980712890625
110,3667.253173828125
111,3924.318359375
112,3790.83349609375
113,3792.3876953125
114,3705.149169921875
115,3668.512451171875
116,3870.2802734375
117,3892.59814453125
118,3848.184326171875
119,3676.035400390625
120,4115.45166015625
121,4160.45849609375
122,4061.173828125
123,4084.853271484375
124,4085.502197265625
125,4017.503173828125
126,4068.55712890625
127,4047.021484375
128,3976.450439453125
129,4044.2451171875
130,4035.817138671875
131,4029.70361328125
132,4048.04833984375
133,4068.36181640625
134,4029.302734375
135,4061.79736328125
136,4012.604736328125
137,3969.529052734375
138,3979.715576171875
139,3985.541748046875
140,3948.4521484375
141,3945.6572265625
142,3901.75390625
143,3896.239990234375
144,3918.08251953125
145,3877.25390625
146,3879.853759765625
147,3945.669921875
148,3950.90576171875
149,3943.320556640625
150,3514.523193359375
151,3574.20458984375
152,3616.045654296875
153,3547.395263671875
154,3469.709716796875
155,3501.58447265625
156,3533.289794921875
157,3548.2890625
158,3655.339599609375
159,3635.845947265625
160,3786.992919921875
161,3686.83154296875
162,3738.73046875
163,3707.26025390625
164,3784.726806640625
165,3756.228271484375
166,3746.809814453125
167,3754.234375
168,3790.169921875
169,3804.451171875
170,3723.380859375
171,3758.798095703125
172,3747.6875
173,3777.267822265625
174,3770.474853515625
175,3704.93603515625
176,3654.04833984375
177,3771.598388671875
178,3733.03515625
179,3678.968994140625
180,3367.732666015625
181,3209.95556640625
182,3156.03759765625
183,3125.624755859375
184,3052.647705078125
185,3238.46923828125
186,3116.444580078125
187,3168.91748046875
188,3070.27880859375
189,3278.501708984375
190,3194.479736328125
191,3148.125244140625
192,3265.8994140625
193,3320.261962890625
194,3312.421142578125
195,3061.15966796875
196,3147.79931640625
197,3076.75146484375
198,3104.11328125
199,2976.5185546875
200,3208.253662109375
201,3028.082275390625
202,2987.8876953125
203,3145.317138671875
204,3214.06640625
205,3032.32080078125
206,3044.6357421875
207,3158.732421875
208,3078.4658203125
209,2980.724609375
210,4492.45947265625
211,4538.55029296875
212,4450.72119140625
213,4466.56689453125
214,4380.57763671875
215,4441.49462890625
216,4335.26318359375
217,4230.93408203125
218,4300.71044921875
219,4293.08837890625
220,4123.033203125
221,4244.30859375
222,4231.64697265625
223,4261.80029296875
224,4279.39892578125
225,4243.6904296875
226,4198.78369140625
227,4219.68603515625
228,4043.059326171875
229,4126.97607421875
230,4156.01171875
231,3870.396240234375
232,3979.80517578125
233,3940.132568359375
234,4044.42236328125
235,3850.6689453125
236,3911.572265625
237,4030.954345703125
238,3944.835205078125
239,3893.3515625
240,4902.234375
241,4845.3681640625
242,4995.96875
243,4660.0126953125
244,4540.453125
245,4550.8486328125
246,4427.005859375
247,4693.52734375
248,4639.099609375
249,4674.05615234375
250,4598.9248046875
251,4524.75537109375
252,4443.6953125
253,4728.0283203125
254,4549.65576171875
255,4630.40625
256,4522.42822265625
257,4407.7685546875
258,4215.0712890625
259,4230.947265625
