"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2013,1,1,0.109,0.085
2013,1,2,0.023,0.021
2013,1,3,0.028,0.019
2013,2,1,0.075,0.049
2013,2,2,0.086,0.062
2013,2,3,0.017,0.011
2013,3,1,0,0
2013,3,2,0.015,0
2013,3,3,0.188,0.12
2013,4,1,0.863,1.291
2013,4,2,1.156,1.976
2013,4,3,2.1,2.115
2013,5,1,2.229,3.248
2013,5,2,0.667,3.929
2013,5,3,1.295,10.113
2013,6,1,85.231,54.047
2013,6,2,133.959,64.137
2013,6,3,72.171,58.417
2013,7,1,59.812,64.197
2013,7,2,115.096,61.252
2013,7,3,106.385,85.043
2013,8,1,48.791,60.203
2013,8,2,18.094,55.795
2013,8,3,19.53,75.222
2013,9,1,61.816,68.071
2013,9,2,145.564,63.947
2013,9,3,15.35,58.823
2013,10,1,31.414,44.397
2013,10,2,11.726,28.483
2013,10,3,45.423,12.861
2013,11,1,2.508,9.083
2013,11,2,1.199,7.263
2013,11,3,7.716,4.671
2013,12,1,2.141,1.836
2013,12,2,1.002,0.992
2013,12,3,0.981,0.938
2014,1,1,0.115,0.085
2014,1,2,0.024,0.021
2014,1,3,0.036,0.019
2014,2,1,0.085,0.049
2014,2,2,0.09,0.062
2014,2,3,0.024,0.011
2014,3,1,0.03,0
2014,3,2,0.148,0
2014,3,3,0.293,0.12
2014,4,1,1.175,1.291
2014,4,2,2.695,1.976
2014,4,3,3.13,2.115
2014,5,1,5.115,3.248
2014,5,2,5.445,3.929
2014,5,3,9.387,10.113
2014,6,1,34.425,54.047
2014,6,2,13.071,64.137
2014,6,3,7.143,58.417
2014,7,1,39.464,64.197
2014,7,2,73.844,61.252
2014,7,3,207.648,85.043
2014,8,1,24.207,60.203
2014,8,2,42.34,55.795
2014,8,3,205.143,75.222
2014,9,1,69.034,68.071
2014,9,2,14.692,63.947
2014,9,3,21.814,58.823
2014,10,1,22.254,44.397
2014,10,2,7.314,28.483
2014,10,3,27.996,12.861
2014,11,1,1.829,9.083
2014,11,2,23.78,7.263
2014,11,3,2.145,4.671
2014,12,1,1.983,1.836
2014,12,2,2.996,0.992
2014,12,3,1.009,0.938
2015,1,1,0.15,0.085
2015,1,2,0.032,0.021
2015,1,3,0.045,0.019
2015,2,1,0.135,0.049
2015,2,2,0.085,0.062
2015,2,3,0.019,0.011
2015,3,1,0.017,0
2015,3,2,0.03,0
2015,3,3,2.286,0.12
2015,4,1,0.814,1.291
2015,4,2,2.434,1.976
2015,4,3,2.293,2.115
2015,5,1,14.883,3.248
2015,5,2,8.019,3.929
2015,5,3,10.299,10.113
2015,6,1,38.306,54.047
2015,6,2,39.353,64.137
2015,6,3,63.154,58.417
2015,7,1,9.103,64.197
2015,7,2,13.827,61.252
2015,7,3,59.748,85.043
2015,8,1,52.18,60.203
2015,8,2,17.814,55.795
2015,8,3,23.664,75.222
2015,9,1,85.579,68.071
2015,9,2,206.331,63.947
2015,9,3,6.461,58.823
2015,10,1,64.771,44.397
2015,10,2,11.534,28.483
2015,10,3,4.267,12.861
2015,11,1,6.662,9.083
2015,11,2,1.152,7.263
2015,11,3,14.158,4.671
2015,12,1,1.515,1.836
2015,12,2,1.013,0.992
2015,12,3,0.989,0.938