"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0.109,0.085
2016,1,2,0.023,0.021
2016,1,3,0.028,0.019
2016,2,1,0.07,0.049
2016,2,2,0.135,0.062
2016,2,3,0.086,0.011
2016,3,1,0.549,0
2016,3,2,0.004,0
2016,3,3,1.327,0.12
2016,4,1,0.891,1.291
2016,4,2,1.105,1.976
2016,4,3,1.404,2.115
2016,5,1,1.047,3.248
2016,5,2,6.575,3.929
2016,5,3,0.575,10.113
2016,6,1,47.635,54.047
2016,6,2,38.079,64.137
2016,6,3,41.694,58.417
2016,7,1,189.22,64.197
2016,7,2,77.836,61.252
2016,7,3,103.331,85.043
2016,8,1,50.898,60.203
2016,8,2,14.491,55.795
2016,8,3,29.786,75.222
2016,9,1,9.664,68.071
2016,9,2,161.87,63.947
2016,9,3,103.083,58.823
2016,10,1,44.78,44.397
2016,10,2,6.752,28.483
2016,10,3,11.688,12.861
2016,11,1,1.056,9.083
2016,11,2,5.169,7.263
2016,11,3,1.541,4.671
2016,12,1,1.32,1.836
2016,12,2,1,0.992
2016,12,3,0.97,0.938
2017,1,1,0.109,0.085
2017,1,2,0.023,0.021
2017,1,3,0.028,0.019
2017,2,1,0.077,0.049
2017,2,2,0.09,0.062
2017,2,3,0.015,0.011
2017,3,1,0.002,0
2017,3,2,0,0
2017,3,3,0.158,0.12
2017,4,1,0.833,1.291
2017,4,2,1.026,1.976
2017,4,3,1.162,2.115
2017,5,1,3.803,3.248
2017,5,2,5.827,3.929
2017,5,3,1.323,10.113
2017,6,1,59.68,54.047
2017,6,2,96.383,64.137
2017,6,3,43.506,58.417
2017,7,1,13.955,64.197
2017,7,2,85.885,61.252
2017,7,3,40.583,85.043
2017,8,1,11.18,60.203
2017,8,2,78.603,55.795
2017,8,3,120.254,75.222
2017,9,1,70.53,68.071
2017,9,2,183.904,63.947
2017,9,3,84.791,58.823
2017,10,1,79.904,44.397
2017,10,2,56.239,28.483
2017,10,3,3.365,12.861
2017,11,1,1.976,9.083
2017,11,2,2.329,7.263
2017,11,3,3.908,4.671
2017,12,1,5.667,1.836
2017,12,2,2.107,0.992
2017,12,3,1.109,0.938
2018,1,1,0.109,0.085
2018,1,2,0.023,0.021
2018,1,3,0.028,0.019
2018,2,1,0.588,0.049
2018,2,2,0.096,0.062
2018,2,3,0.021,0.011
2018,3,1,0,0
2018,3,2,0,0
2018,3,3,0.878,0.12
2018,4,1,1.945,1.291
2018,4,2,3.934,1.976
2018,4,3,1.152,2.115
2018,5,1,1.549,3.248
2018,5,2,2.859,3.929
2018,5,3,6.949,10.113
2018,6,1,68.571,54.047
2018,6,2,31.699,64.137
2018,6,3,87.066,58.417
2018,7,1,75.769,64.197
2018,7,2,85.31,61.252
2018,7,3,20.598,85.043
2018,8,1,11.398,60.203
2018,8,2,72.115,55.795
2018,8,3,48.624,75.222
2018,9,1,7.173,68.071
2018,9,2,14.197,63.947
2018,9,3,53.073,58.823
2018,10,1,18.712,44.397
2018,10,2,33.791,28.483
2018,10,3,3.82,12.861
2018,11,1,11.539,9.083
2018,11,2,2.981,7.263
2018,11,3,2.679,4.671
2018,12,1,1.273,1.836
2018,12,2,0.996,0.992
2018,12,3,0.976,0.938