"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2004,1,1,0.103,0.085
2004,1,2,0.023,0.021
2004,1,3,0.019,0.019
2004,2,1,0.051,0.049
2004,2,2,0.068,0.062
2004,2,3,0.011,0.011
2004,3,1,0,0
2004,3,2,0,0
2004,3,3,0.117,0.12
2004,4,1,1.536,1.291
2004,4,2,1.07,1.976
2004,4,3,1.38,2.115
2004,5,1,11.387,3.248
2004,5,2,32.229,3.929
2004,5,3,21.588,10.113
2004,6,1,73.299,54.047
2004,6,2,83.442,64.137
2004,6,3,16.718,58.417
2004,7,1,33.175,64.197
2004,7,2,42.949,61.252
2004,7,3,101.462,85.043
2004,8,1,126.56,60.203
2004,8,2,46.658,55.795
2004,8,3,23.976,75.222
2004,9,1,71.968,68.071
2004,9,2,34.852,63.947
2004,9,3,114.665,58.823
2004,10,1,19.039,44.397
2004,10,2,2.28,28.483
2004,10,3,3.398,12.861
2004,11,1,16.184,9.083
2004,11,2,2.539,7.263
2004,11,3,1.915,4.671
2004,12,1,1.397,1.836
2004,12,2,0.989,0.992
2004,12,3,0.962,0.938
2005,1,1,0.184,0.085
2005,1,2,0.032,0.021
2005,1,3,0.043,0.019
2005,2,1,0.051,0.049
2005,2,2,0.064,0.062
2005,2,3,0.011,0.011
2005,3,1,0.096,0
2005,3,2,0,0
2005,3,3,0.333,0.12
2005,4,1,1.201,1.291
2005,4,2,8.421,1.976
2005,4,3,7.571,2.115
2005,5,1,1.442,3.248
2005,5,2,1,3.929
2005,5,3,11.256,10.113
2005,6,1,17.902,54.047
2005,6,2,79.607,64.137
2005,6,3,66.671,58.417
2005,7,1,76.968,64.197
2005,7,2,84.179,61.252
2005,7,3,154.295,85.043
2005,8,1,100.662,60.203
2005,8,2,39.536,55.795
2005,8,3,63.69,75.222
2005,9,1,216.945,68.071
2005,9,2,39.459,63.947
2005,9,3,84.902,58.823
2005,10,1,4.34,44.397
2005,10,2,53.359,28.483
2005,10,3,36.237,12.861
2005,11,1,1.387,9.083
2005,11,2,1.342,7.263
2005,11,3,3.844,4.671
2005,12,1,1.406,1.836
2005,12,2,0.989,0.992
2005,12,3,0.966,0.938
2006,1,1,0.103,0.085
2006,1,2,0.023,0.021
2006,1,3,0.019,0.019
2006,2,1,0.051,0.049
2006,2,2,0.064,0.062
2006,2,3,0.011,0.011
2006,3,1,0.838,0
2006,3,2,0.002,0
2006,3,3,0.41,0.12
2006,4,1,0.957,1.291
2006,4,2,1.137,1.976
2006,4,3,1.295,2.115
2006,5,1,1.06,3.248
2006,5,2,0.641,3.929
2006,5,3,51.145,10.113
2006,6,1,41.744,54.047
2006,6,2,39.897,64.137
2006,6,3,122.254,58.417
2006,7,1,145.427,64.197
2006,7,2,28.468,61.252
2006,7,3,142.966,85.043
2006,8,1,258.906,60.203
2006,8,2,71.242,55.795
2006,8,3,27.055,75.222
2006,9,1,59.795,68.071
2006,9,2,126.818,63.947
2006,9,3,40.861,58.823
2006,10,1,76.438,44.397
2006,10,2,4.378,28.483
2006,10,3,7.97,12.861
2006,11,1,22.049,9.083
2006,11,2,2.835,7.263
2006,11,3,15.739,4.671
2006,12,1,1.404,1.836
2006,12,2,0.989,0.992
2006,12,3,0.957,0.938