,date,arrival
0,2006-01-01,7.5
1,2006-01-02,7.212418300653599
2,2006-01-03,6.674836601307191
3,2006-01-04,6.0
4,2006-01-05,5.0
5,2006-01-06,5.0
6,2006-01-07,5.0
7,2006-01-08,5.0
8,2006-01-09,4.5
9,2006-01-10,4.0
10,2006-01-11,5.03703703703704
11,2006-01-12,6.96296296296296
12,2006-01-13,8.0
13,2006-01-14,5.0
14,2006-01-15,4.0
15,2006-01-16,7.5
16,2006-01-17,7.796296296296299
17,2006-01-18,7.953703703703701
18,2006-01-19,8.0
19,2006-01-20,5.0
20,2006-01-21,7.0
21,2006-01-22,7.5
22,2006-01-23,8.0
23,2006-01-24,7.0
24,2006-01-25,6.5
25,2006-01-26,6.0
26,2006-01-27,5.0
27,2006-01-28,4.0
28,2006-01-29,7.5
29,2006-01-30,7.5
30,2006-01-31,5.5
31,2006-02-01,7.0
32,2006-02-02,5.0
33,2006-02-03,7.5
34,2006-02-04,4.5
35,2006-02-05,4.75
36,2006-02-06,5.0
37,2006-02-07,4.5
38,2006-02-08,4.29285450970755
39,2006-02-09,4.0
40,2006-02-10,0.4
41,2006-02-11,3.0
42,2006-02-12,0.3
43,2006-02-13,6.0
44,2006-02-14,5.0
45,2006-02-15,6.5
46,2006-02-16,8.0
47,2006-02-17,5.0
48,2006-02-18,7.0
49,2006-02-19,4.0
50,2006-02-20,5.0
51,2006-02-21,6.0
52,2006-02-22,5.857142857142861
53,2006-02-23,5.5
54,2006-02-24,4.5
55,2006-02-25,5.0
56,2006-02-26,4.0
57,2006-02-27,6.0
58,2006-02-28,5.0
59,2006-03-01,8.0
60,2006-03-02,7.0
61,2006-03-03,4.0
62,2006-03-04,5.0
63,2006-03-05,5.673076923076921
64,2006-03-06,6.0
65,2006-03-07,5.0
66,2006-03-08,4.0
67,2006-03-09,3.0
68,2006-03-10,2.0
69,2006-03-11,4.0
70,2006-03-12,0.8
71,2006-03-13,6.0
72,2006-03-14,4.0
73,2006-03-15,4.0
74,2006-03-16,4.0
75,2006-03-17,6.0
76,2006-03-18,5.0
77,2006-03-19,4.5
78,2006-03-20,5.5
79,2006-03-21,5.0
80,2006-03-22,6.0
81,2006-03-23,7.0
82,2006-03-24,4.0
