2007-06-07,2007-07-19,no
2007-07-20,2007-08-31,no
2007-08-02,2007-09-13,weather
2007-10-08,2007-11-19,hoarding
2008-01-22,2008-03-04,no
2008-03-05,2008-04-16,no
2008-06-26,2008-08-07,weather
2008-10-15,2008-11-26,hoarding
2009-03-17,2009-04-28,no
2009-05-21,2009-07-02,no
2009-06-24,2009-08-05,weather
2009-09-16,2009-10-28,weather
2009-11-28,2010-01-09,hoarding
2009-12-11,2010-01-22,hoarding
2010-07-18,2010-08-29,no
2010-07-25,2010-09-05,weather
2010-10-07,2010-11-18,weather
2010-11-09,2010-12-21,weather
2010-12-23,2011-02-03,hoarding
2011-02-04,2011-03-18,hoarding
2011-05-01,2011-06-12,no
2011-06-23,2011-08-04,no
2011-07-22,2011-09-02,weather
2011-08-12,2011-09-23,weather
2011-11-06,2011-12-18,no
2011-12-06,2012-01-17,weather
2012-03-01,2012-04-12,no
2012-05-24,2012-07-05,weather
2012-06-21,2012-08-02,hoarding
2012-08-29,2012-10-10,hoarding
2012-09-19,2012-10-31,weather
2012-12-01,2013-01-13,hoarding
2013-03-14,2013-04-25,no
2013-05-02,2013-06-13,hoarding
2013-06-03,2013-07-15,hoarding
2013-08-28,2013-10-09,no
2013-08-30,2013-10-11,weather
2013-09-21,2013-11-02,hoarding
2013-09-28,2013-11-09,weather
2013-10-12,2013-11-23,hoarding
2014-02-17,2014-03-31,weather
2014-03-10,2014-04-21,hoarding
2014-06-04,2014-07-16,no
2014-06-24,2014-08-05,weather
2014-07-25,2014-09-05,weather
2014-09-19,2014-10-31,hoarding
2014-09-30,2014-11-11,hoarding
2015-01-31,2015-03-14,no
2015-03-15,2015-04-26,weather
2015-06-18,2015-07-30,no
2015-09-29,2015-11-10,weather
2015-10-11,2015-11-22,hoarding
2016-01-28,2016-03-10,no
2016-05-20,2016-07-01,no
2016-05-27,2016-07-08,weather
2016-06-17,2016-07-29,hoarding
2016-07-15,2016-08-26,weather
2017-01-25,2017-03-08,no
2017-03-09,2017-04-20,no
2017-04-18,2017-05-30,hoarding
2017-05-25,2017-07-06,weather
2017-08-19,2017-09-30,no
2017-10-01,2017-11-12,no
2017-11-13,2017-12-25,no
2018-02-02,2018-03-16,no
2018-08-13,2018-09-24,no
2018-09-24,2018-11-05,hoarding
2019-02-14,2019-03-28,no
2019-03-29,2019-05-10,no
2019-04-29,2019-06-11,hoarding
2019-07-25,2019-09-05,no
2019-09-06,2019-10-18,no
2019-10-19,2019-11-30,no
