2006-12-28,2007-02-08,supply
2007-03-24,2007-05-06,no
2007-09-12,2007-10-25,no
2007-12-12,2008-01-23,supply
2008-03-08,2008-04-20,no
2008-04-26,2008-06-07,supply
2008-07-21,2008-09-02,no
2008-12-25,2009-02-05,supply
2009-07-28,2009-09-09,no
2009-11-06,2009-12-19,no
2010-03-01,2010-04-12,supply
2010-06-11,2010-07-24,no
2010-11-30,2011-01-12,no
2010-12-12,2011-01-23,supply
2011-01-06,2011-02-17,supply
2011-04-07,2011-05-20,no
2011-07-20,2011-09-01,no
2011-12-03,2012-01-14,supply
2011-12-12,2012-01-23,supply
2012-05-15,2012-06-27,no
2012-09-21,2012-11-03,no
2012-11-10,2012-12-22,supply
2013-05-28,2013-07-10,no
2013-11-24,2014-01-06,no
2013-12-13,2014-01-24,supply
2014-02-10,2014-03-24,supply
2014-05-29,2014-07-11,no
2014-07-11,2014-08-23,no
2014-07-13,2014-08-24,supply
2014-10-07,2014-11-19,no
2014-11-19,2015-01-01,no
2014-12-30,2015-02-10,supply
2015-02-03,2015-03-17,supply
2015-02-23,2015-04-06,supply
2015-06-10,2015-07-23,no
2015-09-04,2015-10-17,no
2015-09-12,2015-10-24,supply
2016-09-09,2016-10-22,no
2016-10-22,2016-12-04,no
2017-02-22,2017-04-05,supply
2017-05-30,2017-07-12,no
2017-11-18,2017-12-31,no
2017-12-11,2018-01-22,supply
2018-10-21,2018-12-03,no
2019-10-18,2019-11-30,no
