,date,price
0,2006-01-01,421.0
1,2006-01-02,421.0
2,2006-01-03,1994.0
3,2006-01-04,2228.0
4,2006-01-05,307.0
5,2006-01-06,0.7
6,2006-01-07,0.1
7,2006-01-08,0.1
8,2006-01-09,0.1
9,2006-01-10,49.81314512281646
10,2006-01-11,168.99338699417726
11,2006-01-12,312.70193536844937
12,2006-01-13,436.0
13,2006-01-14,528.0
14,2006-01-15,350.5
15,2006-01-16,173.0
16,2006-01-17,2471.0
17,2006-01-18,1777.0
18,2006-01-19,395.0
19,2006-01-20,444.0
20,2006-01-21,643.0
21,2006-01-22,1147.1979672076293
22,2006-01-23,1520.0
23,2006-01-24,586.0
24,2006-01-25,1590.0
25,2006-01-26,823.0000000000003
26,2006-01-27,56.0
27,2006-01-28,530.0
28,2006-01-29,1655.961751868018
29,2006-01-30,2475.0
30,2006-01-31,2035.0
31,2006-02-01,212.0
32,2006-02-02,3000.0
33,2006-02-03,2089.0
34,2006-02-04,1884.6871949942029
35,2006-02-05,1659.0
36,2006-02-06,0.3
37,2006-02-07,0.5
38,2006-02-08,0.2
39,2006-02-09,0.2
40,2006-02-10,926.1
41,2006-02-11,1852.0
42,2006-02-12,948.5
43,2006-02-13,45.0
44,2006-02-14,384.6296296296296
45,2006-02-15,1015.3703703703703
46,2006-02-16,1355.0
47,2006-02-17,1226.0
48,2006-02-18,108.0
49,2006-02-19,412.8930264387655
50,2006-02-20,992.0082750997533
51,2006-02-21,1342.0
52,2006-02-22,1402.083276826875
53,2006-02-23,1446.3240238461112
54,2006-02-24,1473.6527589422915
55,2006-02-25,1483.0
56,2006-02-26,1319.9461444308447
57,2006-02-27,1055.0
58,2006-02-28,817.0955022900746
59,2006-03-01,666.0
60,2006-03-02,648.0
61,2006-03-03,1112.0
62,2006-03-04,1612.0
63,2006-03-05,284.0
64,2006-03-06,1.2
65,2006-03-07,142.0
66,2006-03-08,0.1
67,2006-03-09,296.68746193214326
68,2006-03-10,919.9193683087308
69,2006-03-11,1470.0
70,2006-03-12,1880.6250761357132
71,2006-03-13,2244.8680936234123
72,2006-03-14,2402.0
73,2006-03-15,1260.5
74,2006-03-16,119.0
75,2006-03-17,1140.0
76,2006-03-18,1033.7037037037037
77,2006-03-19,836.2962962962962
78,2006-03-20,730.0
79,2006-03-21,1574.0
80,2006-03-22,785.0
81,2006-03-23,3075.0
82,2006-03-24,1001.0
83,2006-03-25,120.0
84,2006-03-26,605.0
85,2006-03-27,1090.0
86,2006-03-28,1029.0
87,2006-03-29,879.0
88,2006-03-30,2197.0
89,2006-03-31,1010.0
90,2006-04-01,513.0
91,2006-04-02,423.0
92,2006-04-03,1874.0
93,2006-04-04,357.0
94,2006-04-05,150.51014518265043
95,2006-04-06,36.07729481354749
96,2006-04-07,0.8
97,2006-04-08,1217.0
98,2006-04-09,0.1
99,2006-04-10,269.9281250000001
100,2006-04-11,863.5500000000002
101,2006-04-12,1457.171875
102,2006-04-13,1727.0
103,2006-04-14,1568.0
104,2006-04-15,806.0
105,2006-04-16,1751.5
106,2006-04-17,2697.0
107,2006-04-18,1923.0
108,2006-04-19,2034.0
109,2006-04-20,1641.0
110,2006-04-21,1351.0
111,2006-04-22,265.0
112,2006-04-23,764.9999999999999
113,2006-04-24,1265.0
114,2006-04-25,847.0
115,2006-04-26,383.0
116,2006-04-27,1675.0
117,2006-04-28,591.0
118,2006-04-29,510.0
119,2006-04-30,592.4875317968088
120,2006-05-01,743.0
121,2006-05-02,934.3925360649325
122,2006-05-03,1147.3073791435772
123,2006-05-04,1248.0
124,2006-05-05,696.0
125,2006-05-06,144.0
126,2006-05-07,768.0
127,2006-05-08,0.2
128,2006-05-09,0.6
129,2006-05-10,215.0997083414349
130,2006-05-11,686.1330740812755
131,2006-05-12,1156.9999027804781
132,2006-05-13,1371.0
133,2006-05-14,756.0000000000001
134,2006-05-15,141.0
135,2006-05-16,1357.0
136,2006-05-17,876.0
137,2006-05-18,1045.0
138,2006-05-19,1403.0
139,2006-05-20,1372.0
140,2006-05-21,807.6508336227859
141,2006-05-22,270.0
142,2006-05-23,1992.0
143,2006-05-24,1312.0
144,2006-05-25,1174.1431599594926
145,2006-05-26,1105.653018667782
146,2006-05-27,988.0
147,2006-05-28,491.06392098397316
148,2006-05-29,85.0
149,2006-05-30,1119.0
150,2006-05-31,0.2
151,2006-06-01,1088.0
152,2006-06-02,2515.0
153,2006-06-03,1376.0
154,2006-06-04,1587.0
155,2006-06-05,496.0
156,2006-06-06,1321.0
157,2006-06-07,0.3
158,2006-06-08,0.4
159,2006-06-09,1.8
160,2006-06-10,45.23576141674701
161,2006-06-11,183.0
162,2006-06-12,1887.0
163,2006-06-13,0.4
164,2006-06-14,1.7
165,2006-06-15,0.2
166,2006-06-16,0.7
167,2006-06-17,1.7
168,2006-06-18,0.2
169,2006-06-19,224.0
170,2006-06-20,0.9
171,2006-06-21,0.2
172,2006-06-22,0.9
173,2006-06-23,1.6
174,2006-06-24,0.4
175,2006-06-25,1.2999999999999998
176,2006-06-26,2.2
177,2006-06-27,1.2
178,2006-06-28,1141.0
179,2006-06-29,1.4
180,2006-06-30,1.7
181,2006-07-01,1071.0
182,2006-07-02,270.0
183,2006-07-03,23.0
184,2006-07-04,184.0
185,2006-07-05,573.9380763457002
186,2006-07-06,859.0
187,2006-07-07,0.2
188,2006-07-08,0.2
189,2006-07-09,0.1
190,2006-07-10,2.0
191,2006-07-11,1754.0
192,2006-07-12,1619.0
193,2006-07-13,0.3
194,2006-07-14,0.7
195,2006-07-15,0.3
196,2006-07-16,0.2
197,2006-07-17,0.2
198,2006-07-18,1.0
199,2006-07-19,0.4
200,2006-07-20,0.9
201,2006-07-21,0.9
202,2006-07-22,0.6
203,2006-07-23,1.1
204,2006-07-24,0.2
205,2006-07-25,0.3
206,2006-07-26,699.0
207,2006-07-27,0.2
208,2006-07-28,0.4
209,2006-07-29,0.3
210,2006-07-30,0.3750173116873125
211,2006-07-31,0.6
212,2006-08-01,422.18931465339324
213,2006-08-02,1300.0
214,2006-08-03,2650.0
215,2006-08-04,179.0
216,2006-08-05,102.0
217,2006-08-06,0.9
218,2006-08-07,1787.0
219,2006-08-08,0.4
220,2006-08-09,643.0
221,2006-08-10,1450.581877164866
222,2006-08-11,1936.0
223,2006-08-12,968.1949962807228
224,2006-08-13,0.3
225,2006-08-14,0.2
226,2006-08-15,0.1326923076923077
227,2006-08-16,0.1
228,2006-08-17,1272.0
229,2006-08-18,2391.0
230,2006-08-19,0.1
231,2006-08-20,0.2
232,2006-08-21,0.3
233,2006-08-22,0.4
234,2006-08-23,0.2
235,2006-08-24,0.1
236,2006-08-25,0.1
237,2006-08-26,0.5
238,2006-08-27,0.6428571428571428
239,2006-08-28,0.7
240,2006-08-29,0.6
241,2006-08-30,0.2
242,2006-08-31,0.6
243,2006-09-01,249.0
244,2006-09-02,1180.0
245,2006-09-03,1422.0
246,2006-09-04,1396.6434508610855
247,2006-09-05,1313.0
248,2006-09-06,0.6
249,2006-09-07,0.6
250,2006-09-08,0.6
251,2006-09-09,966.0
252,2006-09-10,1702.6507323026851
253,2006-09-11,2076.0
254,2006-09-12,965.0
255,2006-09-13,887.0
256,2006-09-14,2174.0
257,2006-09-15,1030.0
258,2006-09-16,596.638689048761
259,2006-09-17,309.1526778577139
260,2006-09-18,205.0
261,2006-09-19,1703.0
262,2006-09-20,1007.0
263,2006-09-21,1018.0
264,2006-09-22,1874.0
265,2006-09-23,816.0
266,2006-09-24,417.6901604216472
267,2006-09-25,211.0
268,2006-09-26,104.29025461376386
269,2006-09-27,29.92290508465972
270,2006-09-28,2.0
271,2006-09-29,3.7
272,2006-09-30,2.0
273,2006-10-01,1187.0
274,2006-10-02,1663.0
275,2006-10-03,2046.0
276,2006-10-04,1324.0
277,2006-10-05,1051.0
278,2006-10-06,0.8
279,2006-10-07,249.0
280,2006-10-08,0.1
281,2006-10-09,202.5776
282,2006-10-10,685.4087999999998
283,2006-10-11,1261.6912
284,2006-10-12,1744.5223999999996
285,2006-10-13,1947.0
286,2006-10-14,1483.7037037037037
287,2006-10-15,623.2962962962962
288,2006-10-16,160.0
289,2006-10-17,1045.0
290,2006-10-18,1011.0
291,2006-10-19,919.5820895522388
292,2006-10-20,851.0
293,2006-10-21,912.0
294,2006-10-22,894.2176628567861
295,2006-10-23,844.657547935794
296,2006-10-24,769.0
297,2006-10-25,559.0
298,2006-10-26,1017.0
299,2006-10-27,1342.9660271079035
300,2006-10-28,1648.0867804963916
301,2006-10-29,1902.724520330928
302,2006-10-30,2077.241506776976
303,2006-10-31,2142.0
304,2006-11-01,2036.0
305,2006-11-02,2737.0
306,2006-11-03,387.0
307,2006-11-04,2106.0
308,2006-11-05,1091.0
309,2006-11-06,0.1
310,2006-11-07,1.4
311,2006-11-08,621.0
312,2006-11-09,134.0
313,2006-11-10,98.84847350589772
314,2006-11-11,80.3686811973933
315,2006-11-12,75.0
316,2006-11-13,156.0
317,2006-11-14,2346.0
318,2006-11-15,2005.0
319,2006-11-16,1935.607207664113
320,2006-11-17,1902.4999040381601
321,2006-11-18,1831.0
322,2006-11-19,921.1027748454233
323,2006-11-20,69.0
324,2006-11-21,891.0
325,2006-11-22,1713.0
326,2006-11-23,1712.2987561917664
327,2006-11-24,1709.7561888767138
328,2006-11-25,1704.714044219314
329,2006-11-26,1696.5140683840384
330,2006-11-27,1684.4980075353594
331,2006-11-28,1668.007607837748
332,2006-11-29,1646.3846154556766
333,2006-11-30,1618.9707765536166
334,2006-12-01,1585.1078372960394
335,2006-12-02,1544.1375438474179
336,2006-12-03,1495.4016423722228
337,2006-12-04,1438.2418790349261
338,2006-12-05,1372.0
339,2006-12-06,0.2
340,2006-12-07,0.4
341,2006-12-08,0.6
342,2006-12-09,1304.0
343,2006-12-10,1283.0
344,2006-12-11,1288.4074074074076
345,2006-12-12,1301.925925925926
346,2006-12-13,1319.5
347,2006-12-14,1337.074074074074
348,2006-12-15,1350.5925925925924
349,2006-12-16,1356.0
350,2006-12-17,5.0
351,2006-12-18,181.0
352,2006-12-19,1.4
353,2006-12-20,2.302794066919628
354,2006-12-21,5.0
355,2006-12-22,583.8972059330804
356,2006-12-23,1161.0
357,2006-12-24,681.0
358,2006-12-25,201.0
359,2006-12-26,1012.0
360,2006-12-27,832.0
361,2006-12-28,813.0
362,2006-12-29,1124.0
363,2006-12-30,888.0740740740741
364,2006-12-31,449.9259259259258
365,2007-01-01,214.0
366,2007-01-02,348.0
367,2007-01-03,941.0
368,2007-01-04,1023.081969719218
369,2007-01-05,1071.0
370,2007-01-06,1128.0
371,2007-01-07,1020.5663254965544
372,2007-01-08,752.0
373,2007-01-09,0.2
374,2007-01-10,446.0
375,2007-01-11,120.0
376,2007-01-12,0.2
377,2007-01-13,27.175781249999996
378,2007-01-14,98.29375
379,2007-01-15,198.83984375
380,2007-01-16,314.0999999999999
381,2007-01-17,429.36015625
382,2007-01-18,529.90625
383,2007-01-19,601.02421875
384,2007-01-20,628.0
385,2007-01-21,497.0
386,2007-01-22,366.0
387,2007-01-23,637.0
388,2007-01-24,535.0
389,2007-01-25,650.0
390,2007-01-26,537.0
391,2007-01-27,424.0
392,2007-01-28,453.64
393,2007-01-29,524.3199999999998
394,2007-01-30,608.68
395,2007-01-31,679.3599999999999
396,2007-02-01,709.0
397,2007-02-02,656.0
398,2007-02-03,1855.0
399,2007-02-04,252.0
400,2007-02-05,1116.0
401,2007-02-06,1107.0
402,2007-02-07,191.0
403,2007-02-08,0.2
404,2007-02-09,0.1
405,2007-02-10,0.5
406,2007-02-11,0.4
407,2007-02-12,0.3
408,2007-02-13,560.6500000000002
409,2007-02-14,1121.0
410,2007-02-15,681.0
411,2007-02-16,2367.0
412,2007-02-17,424.0
413,2007-02-18,218.39264157642467
414,2007-02-19,153.0
415,2007-02-20,578.0
416,2007-02-21,1324.0
417,2007-02-22,890.0
418,2007-02-23,954.0
419,2007-02-24,1320.0
420,2007-02-25,717.0
421,2007-02-26,114.0
422,2007-02-27,505.0
423,2007-02-28,771.0
424,2007-03-01,553.0
425,2007-03-02,693.7777777777777
426,2007-03-03,955.2222222222224
427,2007-03-04,1096.0
428,2007-03-05,533.0
429,2007-03-06,172.44202008928573
430,2007-03-07,0.2
431,2007-03-08,0.2
432,2007-03-09,0.5
433,2007-03-10,0.5
434,2007-03-11,0.5
435,2007-03-12,104.0
436,2007-03-13,881.0
437,2007-03-14,779.0
438,2007-03-15,2145.0
439,2007-03-16,1368.0
440,2007-03-17,1839.0
441,2007-03-18,1053.5
442,2007-03-19,268.0
443,2007-03-20,1013.0
444,2007-03-21,949.0
445,2007-03-22,1817.0
446,2007-03-23,1466.0
447,2007-03-24,1417.0
448,2007-03-25,1386.263637080058
449,2007-03-26,1334.0
450,2007-03-27,410.0
451,2007-03-28,367.0
452,2007-03-29,1420.0
453,2007-03-30,582.0
454,2007-03-31,588.9566563467492
455,2007-04-01,606.0
456,2007-04-02,702.1912732198143
457,2007-04-03,887.5866873065015
458,2007-04-04,1067.9387577399382
459,2007-04-05,1149.0
460,2007-04-06,290.0
461,2007-04-07,718.0
462,2007-04-08,1146.0
463,2007-04-09,0.4
464,2007-04-10,0.4
465,2007-04-11,0.4
466,2007-04-12,0.4
467,2007-04-13,81.76982490162517
468,2007-04-14,302.8134747048755
469,2007-04-15,628.9322120573132
470,2007-04-16,1025.5272996065005
471,2007-04-17,1458.0
472,2007-04-18,2105.0
473,2007-04-19,784.0
474,2007-04-20,962.0
475,2007-04-21,1140.0
476,2007-04-22,627.5
477,2007-04-23,115.0
478,2007-04-24,908.0
479,2007-04-25,619.0
480,2007-04-26,615.0
481,2007-04-27,1.0
482,2007-04-28,908.0
483,2007-04-29,576.5
484,2007-04-30,245.0
485,2007-05-01,454.0
486,2007-05-02,189.0
487,2007-05-03,306.5918204070124
488,2007-05-04,623.7391963695801
489,2007-05-05,1087.0
490,2007-05-06,2174.0
491,2007-05-07,1116.0
492,2007-05-08,0.4
493,2007-05-09,0.4
494,2007-05-10,150.0
495,2007-05-11,100.0
496,2007-05-12,0.3
497,2007-05-13,15.27260379039042
498,2007-05-14,66.0
499,2007-05-15,1288.0
500,2007-05-16,1057.0
501,2007-05-17,1005.0
502,2007-05-18,985.0
503,2007-05-19,992.0
504,2007-05-20,543.4999999999999
505,2007-05-21,95.0
506,2007-05-22,1489.0
507,2007-05-23,994.0
508,2007-05-24,1129.0
509,2007-05-25,1146.0
510,2007-05-26,1154.0
511,2007-05-27,637.0
512,2007-05-28,120.0
513,2007-05-29,1739.0
514,2007-05-30,1037.0
515,2007-05-31,1398.0
516,2007-06-01,750.0
517,2007-06-02,773.0
518,2007-06-03,468.5
519,2007-06-04,164.0
520,2007-06-05,988.5
521,2007-06-06,1813.0
522,2007-06-07,0.6
523,2007-06-08,0.2
524,2007-06-09,0.1
525,2007-06-10,1156.0
526,2007-06-11,0.3
527,2007-06-12,2.0
528,2007-06-13,1707.0
529,2007-06-14,1434.0
530,2007-06-15,1663.0
531,2007-06-16,1560.0
532,2007-06-17,871.8861392925693
533,2007-06-18,266.0
534,2007-06-19,2975.0
535,2007-06-20,1881.0
536,2007-06-21,0.2
537,2007-06-22,0.12187593457788648
538,2007-06-23,0.1
539,2007-06-24,0.45
540,2007-06-25,0.8
541,2007-06-26,0.1
542,2007-06-27,0.2
543,2007-06-28,0.3
544,2007-06-29,0.1
545,2007-06-30,202.037037037037
546,2007-07-01,577.0629629629627
547,2007-07-02,779.0
548,2007-07-03,471.50000000000006
549,2007-07-04,164.0
550,2007-07-05,302.0
551,2007-07-06,1694.0
552,2007-07-07,0.3
553,2007-07-08,0.2
554,2007-07-09,0.5
555,2007-07-10,0.6
556,2007-07-11,100.0
557,2007-07-12,0.4
558,2007-07-13,0.1
559,2007-07-14,0.2
560,2007-07-15,0.2
561,2007-07-16,0.1
562,2007-07-17,0.1
563,2007-07-18,0.1
564,2007-07-19,0.2
565,2007-07-20,0.5
566,2007-07-21,0.3
567,2007-07-22,0.1
568,2007-07-23,0.2
569,2007-07-24,0.2
570,2007-07-25,0.1
571,2007-07-26,0.8
572,2007-07-27,0.8
573,2007-07-28,2.4
574,2007-07-29,0.2
575,2007-07-30,148.0
576,2007-07-31,2.0
577,2007-08-01,407.0
578,2007-08-02,497.0
579,2007-08-03,754.3143919624217
580,2007-08-04,1157.9739039665974
581,2007-08-05,1530.3964639874741
582,2007-08-06,1694.0
583,2007-08-07,0.1
584,2007-08-08,0.6
585,2007-08-09,1474.0
586,2007-08-10,0.5
587,2007-08-11,1540.0
588,2007-08-12,0.3
589,2007-08-13,1294.0
590,2007-08-14,0.4
591,2007-08-15,0.1
592,2007-08-16,0.4
593,2007-08-17,0.1
594,2007-08-18,0.2
595,2007-08-19,0.5
596,2007-08-20,321.0
597,2007-08-21,1406.0
598,2007-08-22,0.3
599,2007-08-23,0.5
600,2007-08-24,0.3
601,2007-08-25,0.7
602,2007-08-26,0.3
603,2007-08-27,0.4
604,2007-08-28,1016.0
605,2007-08-29,1.5
606,2007-08-30,0.7
607,2007-08-31,1.0
608,2007-09-01,1221.0
609,2007-09-02,1295.0
610,2007-09-03,1608.0
611,2007-09-04,198.0
612,2007-09-05,1.0
613,2007-09-06,2281.0
614,2007-09-07,0.1
615,2007-09-08,0.1
616,2007-09-09,0.5
617,2007-09-10,0.4
618,2007-09-11,1440.0
619,2007-09-12,720.1000000000001
620,2007-09-13,0.2
621,2007-09-14,0.4
622,2007-09-15,1604.0
623,2007-09-16,0.6
624,2007-09-17,0.3
625,2007-09-18,1.0
626,2007-09-19,0.5
627,2007-09-20,865.0
628,2007-09-21,0.7
629,2007-09-22,652.0
630,2007-09-23,742.6390658083278
631,2007-09-24,824.0
632,2007-09-25,1169.0
633,2007-09-26,795.0
634,2007-09-27,0.5
635,2007-09-28,1.0
636,2007-09-29,564.0
637,2007-09-30,0.4
638,2007-10-01,1117.0
