2006-02-19,2006-04-02,weather
2006-05-20,2006-07-01,Fuel
2006-10-13,2006-11-24,Transport
2007-01-21,2007-03-04,Inflation
2007-05-13,2007-06-24,Transport
2007-06-15,2007-07-27,weather
2007-07-31,2007-09-11,weather
2007-09-09,2007-10-21,weather
2008-03-09,2008-04-20,Inflation
2008-05-16,2008-06-27,Fuel
2008-06-13,2008-07-25,Transport
2008-09-06,2008-10-18,weather
2008-09-20,2008-11-01,weather
2008-12-06,2009-01-18,no
2009-03-22,2009-05-04,no
2009-06-13,2009-07-25,Fuel
2009-07-20,2009-08-31,weather
2009-10-17,2009-11-28,weather
2009-11-08,2009-12-20,weather
2009-11-28,2010-01-09,Inflation
2009-12-12,2010-01-23,Inflation
2010-03-20,2010-05-01,hoarding
2010-05-02,2010-06-14,no
2010-06-26,2010-08-07,Fuel
2010-08-18,2010-09-29,weather
2010-12-05,2011-01-16,hoarding weather
2010-12-19,2011-01-30,hoarding
2011-01-15,2011-02-26,hoarding Inflation
2011-03-29,2011-05-11,no
2011-07-23,2011-09-03,Inflation
2011-08-13,2011-09-24,weather hoarding
2011-10-15,2011-11-26,Inflation Fuel
2011-12-25,2012-02-06,no
2012-02-12,2012-03-26,no
2012-03-28,2012-05-09,hoarding
2012-05-10,2012-06-22,no
2012-07-01,2012-08-12,weather
2012-08-13,2012-09-25,no
2012-12-07,2013-01-18,weather
2013-01-17,2013-02-28,hoarding
2013-04-07,2013-05-20,no
2013-06-29,2013-08-10,weather
2013-08-30,2013-10-11,weather hoarding
2013-09-30,2013-11-11,hoarding
2013-10-24,2013-12-05,hoarding
2013-12-18,2014-01-30,no
2014-01-31,2014-03-15,no
2014-03-15,2014-04-27,no
2014-05-26,2014-07-07,hoarding
2014-07-08,2014-08-20,no
2014-08-22,2014-10-03,hoarding
2014-10-16,2014-11-28,no
2014-11-28,2015-01-10,no
2015-01-20,2015-03-04,no
2015-03-11,2015-04-23,no
2015-04-23,2015-06-05,no
2015-06-10,2015-07-22,weather
2015-07-11,2015-08-22,weather
2015-08-04,2015-09-15,weather
2015-12-03,2016-01-15,no
2016-01-30,2016-03-13,no
2016-03-13,2016-04-25,no
2016-05-30,2016-07-11,Inflation
2016-07-12,2016-08-24,no
2016-10-23,2016-12-04,Transport
2016-12-05,2017-01-17,no
2017-01-17,2017-03-01,no
2017-03-01,2017-04-13,no
2017-04-13,2017-05-26,no
2017-07-20,2017-08-31,hoarding
2017-08-25,2017-10-06,Transport
2017-09-22,2017-11-03,weather
2017-11-04,2017-12-17,no
2017-12-17,2018-01-29,no
2018-03-22,2018-05-04,no
2018-06-01,2018-07-14,no
2018-07-14,2018-08-26,no
2018-08-26,2018-10-08,no
2018-12-15,2019-01-27,no
2019-01-27,2019-03-11,no
2019-03-11,2019-04-23,no
2019-04-23,2019-06-05,no
2019-06-15,2019-07-27,hoarding
2019-08-12,2019-09-23,hoarding
2019-09-13,2019-10-25,hoarding
2019-12-08,2020-01-20,no
