"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2004,1,1,0.46,0.111
2004,1,2,0.231,0.186
2004,1,3,0.315,0.274
2004,2,1,0.315,0.308
2004,2,2,0.323,0.306
2004,2,3,0.094,0.09
2004,3,1,0,0
2004,3,2,0,0
2004,3,3,0.006,0.006
2004,4,1,0.291,0.101
2004,4,2,0.265,0.191
2004,4,3,0.525,0.458
2004,5,1,0.947,0.047
2004,5,2,4.803,0.497
2004,5,3,3.216,4.762
2004,6,1,56.735,46.201
2004,6,2,68.33,64.831
2004,6,3,9.402,56.465
2004,7,1,32.587,66.484
2004,7,2,63.469,62.12
2004,7,3,184.208,90.259
2004,8,1,132.413,57.559
2004,8,2,43.069,43.077
2004,8,3,39.499,68.833
2004,9,1,43.553,61.336
2004,9,2,23.24,48.101
2004,9,3,121.114,51.675
2004,10,1,24.006,27.497
2004,10,2,2.407,14.685
2004,10,3,3.347,7.435
2004,11,1,8.129,5.161
2004,11,2,1.358,4.197
2004,11,3,1.407,2.953
2004,12,1,1,0.994
2004,12,2,0.899,0.73
2004,12,3,0.85,0.632
2005,1,1,0.653,0.111
2005,1,2,0.347,0.186
2005,1,3,0.445,0.274
2005,2,1,0.371,0.308
2005,2,2,0.31,0.306
2005,2,3,0.096,0.09
2005,3,1,0.062,0
2005,3,2,0,0
2005,3,3,0.006,0.006
2005,4,1,0.144,0.101
2005,4,2,0.373,0.191
2005,4,3,2.27,0.458
2005,5,1,0.06,0.047
2005,5,2,0.128,0.497
2005,5,3,4.992,4.762
2005,6,1,12.895,46.201
2005,6,2,56.392,64.831
2005,6,3,135.417,56.465
2005,7,1,113.084,66.484
2005,7,2,65.295,62.12
2005,7,3,186.073,90.259
2005,8,1,54.107,57.559
2005,8,2,39.499,43.077
2005,8,3,36.276,68.833
2005,9,1,138.574,61.336
2005,9,2,45.559,48.101
2005,9,3,87.597,51.675
2005,10,1,5.717,27.497
2005,10,2,23.833,14.685
2005,10,3,15.492,7.435
2005,11,1,1.535,5.161
2005,11,2,1.43,4.197
2005,11,3,3.638,2.953
2005,12,1,1.011,0.994
2005,12,2,0.899,0.73
2005,12,3,0.848,0.632
2006,1,1,0.428,0.111
2006,1,2,0.22,0.186
2006,1,3,0.308,0.274
2006,2,1,0.315,0.308
2006,2,2,0.311,0.306
2006,2,3,0.092,0.09
2006,3,1,1.332,0
2006,3,2,0.019,0
2006,3,3,0.081,0.006
2006,4,1,0.071,0.101
2006,4,2,0.163,0.191
2006,4,3,0.424,0.458
2006,5,1,0.019,0.047
2006,5,2,0.051,0.497
2006,5,3,25.31,4.762
2006,6,1,54.032,46.201
2006,6,2,36.024,64.831
2006,6,3,103.522,56.465
2006,7,1,152.31,66.484
2006,7,2,21.929,62.12
2006,7,3,182.054,90.259
2006,8,1,207.591,57.559
2006,8,2,64.771,43.077
2006,8,3,27.143,68.833
2006,9,1,48.315,61.336
2006,9,2,114.135,48.101
2006,9,3,69.336,51.675
2006,10,1,52.225,27.497
2006,10,2,5.103,14.685
2006,10,3,6.801,7.435
2006,11,1,11.418,5.161
2006,11,2,4.081,4.197
2006,11,3,5.934,2.953
2006,12,1,1.002,0.994
2006,12,2,0.811,0.73
2006,12,3,0.69,0.632