"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2013,1,1,0.443,0.111
2013,1,2,0.268,0.186
2013,1,3,0.317,0.274
2013,2,1,0.375,0.308
2013,2,2,0.366,0.306
2013,2,3,0.098,0.09
2013,3,1,0,0
2013,3,2,0,0
2013,3,3,0.017,0.006
2013,4,1,0.098,0.101
2013,4,2,0.553,0.191
2013,4,3,1.415,0.458
2013,5,1,0.026,0.047
2013,5,2,0.105,0.497
2013,5,3,0.809,4.762
2013,6,1,107.672,46.201
2013,6,2,134.704,64.831
2013,6,3,79.103,56.465
2013,7,1,62.629,66.484
2013,7,2,101.944,62.12
2013,7,3,107.617,90.259
2013,8,1,56.734,57.559
2013,8,2,25.677,43.077
2013,8,3,40.893,68.833
2013,9,1,31.981,61.336
2013,9,2,84.872,48.101
2013,9,3,91.272,51.675
2013,10,1,34.158,27.497
2013,10,2,9.268,14.685
2013,10,3,7.604,7.435
2013,11,1,1.096,5.161
2013,11,2,0.972,4.197
2013,11,3,5.902,2.953
2013,12,1,1.137,0.994
2013,12,2,0.773,0.73
2013,12,3,0.668,0.632
2014,1,1,0.555,0.111
2014,1,2,0.323,0.186
2014,1,3,0.407,0.274
2014,2,1,0.407,0.308
2014,2,2,0.403,0.306
2014,2,3,0.15,0.09
2014,3,1,0.06,0
2014,3,2,0.038,0
2014,3,3,0.013,0.006
2014,4,1,0.114,0.101
2014,4,2,0.52,0.191
2014,4,3,0.959,0.458
2014,5,1,0.471,0.047
2014,5,2,1.724,0.497
2014,5,3,7.101,4.762
2014,6,1,28.499,46.201
2014,6,2,12.325,64.831
2014,6,3,3.749,56.465
2014,7,1,27.319,66.484
2014,7,2,91.63,62.12
2014,7,3,210.955,90.259
2014,8,1,14.336,57.559
2014,8,2,21.195,43.077
2014,8,3,189.522,68.833
2014,9,1,88.687,61.336
2014,9,2,8.531,48.101
2014,9,3,11.071,51.675
2014,10,1,10.471,27.497
2014,10,2,3.612,14.685
2014,10,3,5.694,7.435
2014,11,1,1.664,5.161
2014,11,2,17.253,4.197
2014,11,3,1.962,2.953
2014,12,1,1.627,0.994
2014,12,2,1.323,0.73
2014,12,3,0.989,0.632
2015,1,1,0.94,0.111
2015,1,2,0.505,0.186
2015,1,3,0.58,0.274
2015,2,1,0.368,0.308
2015,2,2,0.353,0.306
2015,2,3,0.094,0.09
2015,3,1,0.09,0
2015,3,2,0.499,0
2015,3,3,1.266,0.006
2015,4,1,0.118,0.101
2015,4,2,1.122,0.191
2015,4,3,0.392,0.458
2015,5,1,0.098,0.047
2015,5,2,0.675,0.497
2015,5,3,1.208,4.762
2015,6,1,34.25,46.201
2015,6,2,74.477,64.831
2015,6,3,95.383,56.465
2015,7,1,4.238,66.484
2015,7,2,26.334,62.12
2015,7,3,97.775,90.259
2015,8,1,53.765,57.559
2015,8,2,24.57,43.077
2015,8,3,7.942,68.833
2015,9,1,35.899,61.336
2015,9,2,157.443,48.101
2015,9,3,4.871,51.675
2015,10,1,21.383,27.497
2015,10,2,5.587,14.685
2015,10,3,4.443,7.435
2015,11,1,2.131,5.161
2015,11,2,1.064,4.197
2015,11,3,8.304,2.953
2015,12,1,1.06,0.994
2015,12,2,0.912,0.73
2015,12,3,0.871,0.632