"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,0.439,0.111
2019,1,2,0.25,0.186
2019,1,3,0.315,0.274
2019,2,1,0.381,0.308
2019,2,2,0.355,0.306
2019,2,3,0.09,0.09
2019,3,1,0,0
2019,3,2,0,0
2019,3,3,0.004,0.006
2019,4,1,0.084,0.101
2019,4,2,0.991,0.191
2019,4,3,0.405,0.458
2019,5,1,0.034,0.047
2019,5,2,0.053,0.497
2019,5,3,0.887,4.762
2019,6,1,29.578,46.201
2019,6,2,25.69,64.831
2019,6,3,71.298,56.465
2019,7,1,78.426,66.484
2019,7,2,47.771,62.12
2019,7,3,115.368,90.259
2019,8,1,154.769,57.559
2019,8,2,17.43,43.077
2019,8,3,29.032,68.833
2019,9,1,74.328,61.336
2019,9,2,93.326,48.101
2019,9,3,92.159,51.675
2019,10,1,25.865,27.497
2019,10,2,12.101,14.685
2019,10,3,51.334,7.435
2019,11,1,22.78,5.161
2019,11,2,1.24,4.197
2019,11,3,2.403,2.953
2019,12,1,1.144,0.994
2019,12,2,1.023,0.73
2019,12,3,0.944,0.632
2020,1,1,0.565,0.111
2020,1,2,0.323,0.186
2020,1,3,0.379,0.274
2020,2,1,0.396,0.308
2020,2,2,0.402,0.306
2020,2,3,0.122,0.09
2020,3,1,0,0
2020,3,2,0,0
2020,3,3,0.319,0.006
2020,4,1,,0.101
2020,4,2,,0.191
2020,4,3,,0.458
2020,5,1,,0.047
2020,5,2,,0.497
2020,5,3,,4.762
2020,6,1,,46.201
2020,6,2,,64.831
2020,6,3,,56.465
2020,7,1,,66.484
2020,7,2,,62.12
2020,7,3,,90.259
2020,8,1,,57.559
2020,8,2,,43.077
2020,8,3,,68.833
2020,9,1,,61.336
2020,9,2,,48.101
2020,9,3,,51.675
2020,10,1,,27.497
2020,10,2,,14.685
2020,10,3,,7.435
2020,11,1,,5.161
2020,11,2,,4.197
2020,11,3,,2.953
2020,12,1,,0.994
2020,12,2,,0.73
2020,12,3,,0.632