"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0.439,0.111
2016,1,2,0.25,0.186
2016,1,3,0.315,0.274
2016,2,1,0.311,0.308
2016,2,2,0.533,0.306
2016,2,3,0.169,0.09
2016,3,1,0.477,0
2016,3,2,0,0
2016,3,3,0.128,0.006
2016,4,1,0.077,0.101
2016,4,2,0.186,0.191
2016,4,3,0.458,0.458
2016,5,1,0.176,0.047
2016,5,2,0.242,0.497
2016,5,3,0.953,4.762
2016,6,1,8.961,46.201
2016,6,2,22.992,64.831
2016,6,3,64.865,56.465
2016,7,1,182.323,66.484
2016,7,2,95.315,62.12
2016,7,3,81.901,90.259
2016,8,1,69.764,57.559
2016,8,2,10.987,43.077
2016,8,3,44.996,68.833
2016,9,1,7.64,61.336
2016,9,2,107.42,48.101
2016,9,3,48.458,51.675
2016,10,1,51.758,27.497
2016,10,2,8.257,14.685
2016,10,3,12.76,7.435
2016,11,1,1.047,5.161
2016,11,2,1.021,4.197
2016,11,3,1.122,2.953
2016,12,1,0.998,0.994
2016,12,2,0.811,0.73
2016,12,3,0.687,0.632
2017,1,1,0.439,0.111
2017,1,2,0.25,0.186
2017,1,3,0.315,0.274
2017,2,1,0.366,0.308
2017,2,2,0.362,0.306
2017,2,3,0.099,0.09
2017,3,1,0.008,0
2017,3,2,0,0
2017,3,3,0,0.006
2017,4,1,0.083,0.101
2017,4,2,0.188,0.191
2017,4,3,0.417,0.458
2017,5,1,0.015,0.047
2017,5,2,0.809,0.497
2017,5,3,1.627,4.762
2017,6,1,94.469,46.201
2017,6,2,55.413,64.831
2017,6,3,31.97,56.465
2017,7,1,10.42,66.484
2017,7,2,73.141,62.12
2017,7,3,65.752,90.259
2017,8,1,8.542,57.559
2017,8,2,80.52,43.077
2017,8,3,113.467,68.833
2017,9,1,49.925,61.336
2017,9,2,158.61,48.101
2017,9,3,19.199,51.675
2017,10,1,54.72,27.497
2017,10,2,22.445,14.685
2017,10,3,3.552,7.435
2017,11,1,1.229,5.161
2017,11,2,1.062,4.197
2017,11,3,1.657,2.953
2017,12,1,3.158,0.994
2017,12,2,1.233,0.73
2017,12,3,0.976,0.632
2018,1,1,0.439,0.111
2018,1,2,0.25,0.186
2018,1,3,0.315,0.274
2018,2,1,1.22,0.308
2018,2,2,0.732,0.306
2018,2,3,0.105,0.09
2018,3,1,0,0
2018,3,2,0,0
2018,3,3,0.008,0.006
2018,4,1,0.188,0.101
2018,4,2,0.231,0.191
2018,4,3,0.478,0.458
2018,5,1,0.032,0.047
2018,5,2,0.053,0.497
2018,5,3,0.829,4.762
2018,6,1,53.893,46.201
2018,6,2,29.122,64.831
2018,6,3,95.403,56.465
2018,7,1,92.473,66.484
2018,7,2,119.18,62.12
2018,7,3,41.981,90.259
2018,8,1,15.053,57.559
2018,8,2,74.25,43.077
2018,8,3,32.244,68.833
2018,9,1,7.527,61.336
2018,9,2,9.084,48.101
2018,9,3,38.071,51.675
2018,10,1,11.094,27.497
2018,10,2,6.737,14.685
2018,10,3,3.704,7.435
2018,11,1,6.079,5.161
2018,11,2,1.775,4.197
2018,11,3,1.236,2.953
2018,12,1,2.205,0.994
2018,12,2,0.794,0.73
2018,12,3,0.675,0.632