date,price
2006-01-01,2600
2006-01-02,2600
2006-01-03,2600
2006-01-04,2600
2006-01-05,2600
2006-01-06,2600
2006-01-07,2600
2006-01-08,2600
2006-01-09,2600
2006-01-10,2600
2006-01-11,2600
2006-01-12,2600
2006-01-13,2600
2006-01-14,2600
2006-01-15,2600
2006-01-16,2600
2006-01-17,2600
2006-01-18,2600
2006-01-19,2600
2006-01-20,2600
2006-01-21,2600
2006-01-22,2600
2006-01-23,2600
2006-01-24,2600
2006-01-25,2600
2006-01-26,2600
2006-01-27,2600
2006-01-28,2600
2006-01-29,2600
2006-01-30,2600
2006-01-31,2600
2006-02-01,2600
2006-02-02,2600
2006-02-03,2600
2006-02-04,2600
2006-02-05,2600
2006-02-06,2600
2006-02-07,2600
2006-02-08,2600
2006-02-09,2600
2006-02-10,2600
2006-02-11,2600
2006-02-12,2600
2006-02-13,2600
2006-02-14,2600
2006-02-15,2600
2006-02-16,2600
2006-02-17,2600
2006-02-18,2600
2006-02-19,2600
2006-02-20,2600
2006-02-21,2600
2006-02-22,2600
2006-02-23,2600
2006-02-24,2600
2006-02-25,2600
2006-02-26,2600
2006-02-27,2600
2006-02-28,2600
2006-03-01,2600
2006-03-02,2600
2006-03-03,2600
2006-03-04,2600
2006-03-05,2600
2006-03-06,2600
2006-03-07,2600
2006-03-08,2600
2006-03-09,2600
2006-03-10,2600
2006-03-11,2600
2006-03-12,2600
2006-03-13,2600
2006-03-14,2600
2006-03-15,2600
2006-03-16,2600
2006-03-17,2600
2006-03-18,2600
2006-03-19,2600
2006-03-20,2600
2006-03-21,2600
2006-03-22,2600
2006-03-23,2600
2006-03-24,2600
2006-03-25,2600
2006-03-26,2600
2006-03-27,2600
2006-03-28,2600
2006-03-29,2600
2006-03-30,2600
2006-03-31,2600
2006-04-01,2600
2006-04-02,2600
2006-04-03,2600
2006-04-04,2600
2006-04-05,2600
2006-04-06,2600
2006-04-07,2600
2006-04-08,2600
2006-04-09,2600
2006-04-10,2600
2006-04-11,2600
2006-04-12,2600
2006-04-13,2600
2006-04-14,2600
2006-04-15,2600
2006-04-16,2600
2006-04-17,2600
2006-04-18,2600
2006-04-19,2600
2006-04-20,2600
2006-04-21,2600
2006-04-22,2600
2006-04-23,2600
2006-04-24,2600
2006-04-25,2600
2006-04-26,2600
2006-04-27,2600
2006-04-28,2600
2006-04-29,2600
2006-04-30,2600
2006-05-01,2600
2006-05-02,2600
2006-05-03,2600
2006-05-04,2600
2006-05-05,2600
2006-05-06,2600
2006-05-07,2600
2006-05-08,2600
2006-05-09,2600
2006-05-10,2600
2006-05-11,2600
2006-05-12,2600
2006-05-13,2600
2006-05-14,2600
2006-05-15,2600
2006-05-16,2600
2006-05-17,2600
2006-05-18,2600
2006-05-19,2600
2006-05-20,2600
2006-05-21,2600
2006-05-22,2600
2006-05-23,2600
2006-05-24,2600
2006-05-25,2600
2006-05-26,2600
2006-05-27,2600
2006-05-28,2600
2006-05-29,2600
2006-05-30,2600
2006-05-31,2600
2006-06-01,2600
2006-06-02,2600
2006-06-03,2600
2006-06-04,2600
2006-06-05,2600
2006-06-06,2600
2006-06-07,2600
2006-06-08,2600
2006-06-09,2600
2006-06-10,2600
2006-06-11,2600
2006-06-12,2600
2006-06-13,2600
2006-06-14,2600
2006-06-15,2600
2006-06-16,2600
2006-06-17,2600
2006-06-18,2600
2006-06-19,2600
2006-06-20,2600
2006-06-21,2600
2006-06-22,2600
2006-06-23,2600
2006-06-24,2600
2006-06-25,2600
2006-06-26,2600
2006-06-27,2600
2006-06-28,2600
2006-06-29,2600
2006-06-30,2600
2006-07-01,2600
2006-07-02,2600
2006-07-03,2600
2006-07-04,2600
2006-07-05,2600
2006-07-06,2600
2006-07-07,2600
2006-07-08,2600
2006-07-09,2600
2006-07-10,2600
2006-07-11,2600
2006-07-12,2600
2006-07-13,2600
2006-07-14,2600
2006-07-15,2600
2006-07-16,2600
2006-07-17,2600
2006-07-18,2600
2006-07-19,2600
2006-07-20,2600
2006-07-21,2600
2006-07-22,2600
2006-07-23,2600
2006-07-24,2600
2006-07-25,2600
2006-07-26,2600
2006-07-27,2600
2006-07-28,2600
2006-07-29,2600
2006-07-30,2600
2006-07-31,2600
2006-08-01,2600
2006-08-02,2600
2006-08-03,2600
2006-08-04,2600
2006-08-05,2600
2006-08-06,2600
2006-08-07,2600
2006-08-08,2600
2006-08-09,2600
2006-08-10,2600
2006-08-11,2600
2006-08-12,2600
2006-08-13,2600
2006-08-14,2600
2006-08-15,2600
2006-08-16,2600
2006-08-17,2600
2006-08-18,2600
2006-08-19,2600
2006-08-20,2600
2006-08-21,2600
2006-08-22,2600
2006-08-23,2600
2006-08-24,2600
2006-08-25,2600
2006-08-26,2600
2006-08-27,2600
2006-08-28,2600
2006-08-29,2600
2006-08-30,2600
2006-08-31,2600
2006-09-01,2600
2006-09-02,2600
2006-09-03,2600
2006-09-04,2600
2006-09-05,2600
2006-09-06,2600
2006-09-07,2600
2006-09-08,2600
2006-09-09,2600
2006-09-10,2600
2006-09-11,2600
2006-09-12,2600
2006-09-13,2600
2006-09-14,2600
2006-09-15,2600
2006-09-16,2600
2006-09-17,2600
2006-09-18,2600
2006-09-19,2600
2006-09-20,2600
2006-09-21,2600
2006-09-22,2600
2006-09-23,2600
2006-09-24,2600
2006-09-25,2600
2006-09-26,2600
2006-09-27,2600
2006-09-28,2600
2006-09-29,2600
2006-09-30,2600
2006-10-01,2600
2006-10-02,2600
2006-10-03,2600
2006-10-04,2600
2006-10-05,2600
2006-10-06,2600
2006-10-07,2600
2006-10-08,2600
2006-10-09,2600
2006-10-10,2600
2006-10-11,2600
2006-10-12,2600
2006-10-13,2600
2006-10-14,2600
2006-10-15,2600
2006-10-16,2600
2006-10-17,2600
2006-10-18,2600
2006-10-19,2600
2006-10-20,2600
2006-10-21,2600
2006-10-22,2600
2006-10-23,2600
2006-10-24,2600
2006-10-25,2600
2006-10-26,2600
2006-10-27,2600
2006-10-28,2600
2006-10-29,2600
2006-10-30,2600
2006-10-31,2600
2006-11-01,2600
2006-11-02,2600
2006-11-03,2600
2006-11-04,2600
2006-11-05,2600
2006-11-06,2600
2006-11-07,2600
2006-11-08,2600
2006-11-09,2600
2006-11-10,2600
2006-11-11,2600
2006-11-12,2600
2006-11-13,2600
2006-11-14,2600
2006-11-15,2600
2006-11-16,2600
2006-11-17,2600
2006-11-18,2600
2006-11-19,2600
2006-11-20,2600
2006-11-21,2600
2006-11-22,2600
2006-11-23,2600
2006-11-24,2600
2006-11-25,2600
2006-11-26,2600
2006-11-27,2600
2006-11-28,2600
2006-11-29,2600
2006-11-30,2600
2006-12-01,2600
2006-12-02,2600
2006-12-03,2600
2006-12-04,2600
2006-12-05,2600
2006-12-06,2600
2006-12-07,2600
2006-12-08,2600
2006-12-09,2600
2006-12-10,2600
2006-12-11,2600
2006-12-12,2600
2006-12-13,2600
2006-12-14,2600
2006-12-15,2600
2006-12-16,2600
2006-12-17,2600
2006-12-18,2600
2006-12-19,2600
2006-12-20,2600
2006-12-21,2600
2006-12-22,2600
2006-12-23,2600
2006-12-24,2600
2006-12-25,2600
2006-12-26,2600
2006-12-27,2600
2006-12-28,2600
2006-12-29,2600
2006-12-30,2600
2006-12-31,2600
2007-01-01,2600
2007-01-02,2600
2007-01-03,2600
2007-01-04,2600
2007-01-05,2600
2007-01-06,2600
2007-01-07,2600
2007-01-08,2600
2007-01-09,2600
2007-01-10,2600
2007-01-11,2600
2007-01-12,2600
2007-01-13,2600
2007-01-14,2600
2007-01-15,2600
2007-01-16,2600
2007-01-17,2600
2007-01-18,2600
2007-01-19,2600
2007-01-20,2600
2007-01-21,2600
2007-01-22,2600
2007-01-23,2600
2007-01-24,2600
2007-01-25,2600
2007-01-26,2600
2007-01-27,2600
2007-01-28,2600
2007-01-29,2600
2007-01-30,2600
2007-01-31,2600
2007-02-01,2600
2007-02-02,2600
2007-02-03,2600
2007-02-04,2600
2007-02-05,2600
2007-02-06,2600
2007-02-07,2600
2007-02-08,2600
2007-02-09,2600
2007-02-10,2600
2007-02-11,2600
2007-02-12,2600
2007-02-13,2600
2007-02-14,2600
2007-02-15,2600
2007-02-16,2600
2007-02-17,2600
2007-02-18,2600
2007-02-19,2600
2007-02-20,2600
2007-02-21,2600
2007-02-22,2600
2007-02-23,2600
2007-02-24,2600
2007-02-25,2600
2007-02-26,2600
2007-02-27,2600
2007-02-28,2600
2007-03-01,2600
2007-03-02,2600
2007-03-03,2600
2007-03-04,2600
2007-03-05,2600
2007-03-06,2600
2007-03-07,2600
2007-03-08,2600
2007-03-09,2600
2007-03-10,2600
2007-03-11,2600
2007-03-12,2600
2007-03-13,2600
2007-03-14,2600
2007-03-15,2600
2007-03-16,2600
2007-03-17,2600
2007-03-18,2600
2007-03-19,2600
2007-03-20,2600
2007-03-21,2600
2007-03-22,2600
2007-03-23,2600
2007-03-24,2600
2007-03-25,2600
2007-03-26,2600
2007-03-27,2600
2007-03-28,2600
2007-03-29,2600
2007-03-30,2600
2007-03-31,2600
2007-04-01,2600
2007-04-02,2600
2007-04-03,2600
2007-04-04,2600
2007-04-05,2600
2007-04-06,2600
2007-04-07,2600
2007-04-08,2600
2007-04-09,2600
2007-04-10,2600
2007-04-11,2600
2007-04-12,2600
2007-04-13,2600
2007-04-14,2600
2007-04-15,2600
2007-04-16,2600
2007-04-17,2600
2007-04-18,2600
2007-04-19,2600
2007-04-20,2600
2007-04-21,2600
2007-04-22,2600
2007-04-23,2600
2007-04-24,2600
2007-04-25,2600
2007-04-26,2600
2007-04-27,2600
2007-04-28,2600
2007-04-29,2600
2007-04-30,2600
2007-05-01,2600
2007-05-02,2600
2007-05-03,2600
2007-05-04,2600
2007-05-05,2600
2007-05-06,2600
2007-05-07,2600
2007-05-08,2600
2007-05-09,2600
2007-05-10,2600
2007-05-11,2600
2007-05-12,2600
2007-05-13,2600
2007-05-14,2600
2007-05-15,2600
2007-05-16,2600
2007-05-17,2600
2007-05-18,2600
2007-05-19,2600
2007-05-20,2600
2007-05-21,2600
2007-05-22,2600
2007-05-23,2600
2007-05-24,2600
2007-05-25,2600
2007-05-26,2600
2007-05-27,2600
2007-05-28,2600
2007-05-29,2600
2007-05-30,2600
2007-05-31,2600
2007-06-01,2600
2007-06-02,2600
2007-06-03,2600
2007-06-04,2600
2007-06-05,2600
2007-06-06,2600
2007-06-07,2600
2007-06-08,2600
2007-06-09,2600
2007-06-10,2600
2007-06-11,2600
2007-06-12,2600
2007-06-13,2600
2007-06-14,2600
2007-06-15,2600
2007-06-16,2600
2007-06-17,2600
2007-06-18,2600
2007-06-19,2600
2007-06-20,2600
2007-06-21,2600
2007-06-22,2600
2007-06-23,2600
2007-06-24,2542.75675900474
2007-06-25,2542.75675900474
2007-06-26,2542.75675900474
2007-06-27,2542.75675900474
2007-06-28,2542.75675900474
2007-06-29,2542.75675900474
2007-06-30,2542.75675900474
2007-07-01,2499.64865651657
2007-07-02,2499.64865651657
2007-07-03,2499.64865651657
2007-07-04,2499.64865651657
2007-07-05,2499.64865651657
2007-07-06,2499.64865651657
2007-07-07,2499.64865651657
2007-07-08,2499.64865651657
2007-07-09,2499.64865651657
2007-07-10,2499.64865651657
2007-07-11,2499.64865651657
2007-07-12,2499.64865651657
2007-07-13,2499.64865651657
2007-07-14,2499.64865651657
2007-07-15,2499.64865651657
2007-07-16,2499.64865651657
2007-07-17,2499.64865651657
2007-07-18,2499.64865651657
2007-07-19,2499.64865651657
2007-07-20,2499.64865651657
2007-07-21,2499.64865651657
2007-07-22,2499.64865651657
2007-07-23,2499.64865651657
2007-07-24,2499.64865651657
2007-07-25,2499.64865651657
2007-07-26,2499.64865651657
2007-07-27,2499.64865651657
2007-07-28,2499.64865651657
2007-07-29,2499.64865651657
2007-07-30,2499.64865651657
2007-07-31,2499.64865651657
2007-08-01,2499.64865651657
2007-08-02,2499.64865651657
2007-08-03,2499.64865651657
2007-08-04,2499.64865651657
2007-08-05,2499.64865651657
2007-08-06,2499.64865651657
2007-08-07,2499.64865651657
2007-08-08,2499.64865651657
2007-08-09,2499.64865651657
2007-08-10,2499.64865651657
2007-08-11,2499.64865651657
2007-08-12,2499.64865651657
2007-08-13,2499.64865651657
2007-08-14,2499.64865651657
2007-08-15,2499.64865651657
2007-08-16,2499.64865651657
2007-08-17,2499.64865651657
2007-08-18,2499.64865651657
2007-08-19,2499.64865651657
2007-08-20,2499.64865651657
2007-08-21,2499.64865651657
2007-08-22,2499.64865651657
2007-08-23,2499.64865651657
2007-08-24,2499.64865651657
2007-08-25,2499.64865651657
2007-08-26,2499.64865651657
2007-08-27,2499.64865651657
2007-08-28,2499.64865651657
2007-08-29,2499.64865651657
2007-08-30,2499.64865651657
2007-08-31,2499.64865651657
2007-09-01,2499.64865651657
2007-09-02,2499.64865651657
2007-09-03,2499.64865651657
2007-09-04,2499.64865651657
2007-09-05,2499.64865651657
2007-09-06,2499.64865651657
2007-09-07,2499.64865651657
2007-09-08,2499.64865651657
2007-09-09,2499.64865651657
2007-09-10,2499.64865651657
2007-09-11,2499.64865651657
2007-09-12,2499.64865651657
2007-09-13,2499.64865651657
2007-09-14,2499.64865651657
2007-09-15,2499.64865651657
2007-09-16,2499.64865651657
2007-09-17,2499.64865651657
2007-09-18,2499.64865651657
2007-09-19,2499.64865651657
2007-09-20,2499.64865651657
2007-09-21,2499.64865651657
2007-09-22,2499.64865651657
2007-09-23,2499.64865651657
2007-09-24,2499.64865651657
2007-09-25,2499.64865651657
2007-09-26,2499.64865651657
2007-09-27,2499.64865651657
2007-09-28,2499.64865651657
2007-09-29,2499.64865651657
2007-09-30,2499.64865651657
2007-10-01,2499.64865651657
2007-10-02,2499.64865651657
2007-10-03,2499.64865651657
2007-10-04,2499.64865651657
2007-10-05,2499.64865651657
2007-10-06,2499.64865651657
2007-10-07,2499.64865651657
2007-10-08,2499.64865651657
2007-10-09,2499.64865651657
2007-10-10,2499.64865651657
2007-10-11,2499.64865651657
2007-10-12,2499.64865651657
2007-10-13,2499.64865651657
2007-10-14,1299.9498080738
2007-10-15,1299.9498080738
2007-10-16,1299.9498080738
2007-10-17,1299.9498080738
2007-10-18,1299.9498080738
2007-10-19,1299.9498080738
2007-10-20,1299.9498080738
2007-10-21,1049.91989798418
2007-10-22,1049.91989798418
