,Year,Month,Rainfall
0,2004,1,0.259
1,2004,2,0.135
2,2004,3,0.10300000000000001
3,2004,4,2.726
4,2004,5,35.473
5,2004,6,92.834
6,2004,7,119.32900000000001
7,2004,8,67.63
8,2004,9,229.637
9,2004,10,30.746999999999996
10,2004,11,16.556
11,2004,12,2.6660000000000004
12,2005,1,0.622
13,2005,2,0.14900000000000002
14,2005,3,1.049
15,2005,4,9.067
16,2005,5,7.961
17,2005,6,91.76500000000001
18,2005,7,211.293
19,2005,8,99.19399999999999
20,2005,9,272.942
21,2005,10,104.22
22,2005,11,6.933
23,2005,12,2.801
24,2006,1,0.26
25,2006,2,0.135
26,2006,3,3.744
27,2006,4,2.032
28,2006,5,39.913999999999994
29,2006,6,139.332
30,2006,7,157.738
31,2006,8,229.5
32,2006,9,235.94300000000004
33,2006,10,83.21000000000001
34,2006,11,33.032
35,2006,12,2.69
36,2007,1,0.23500000000000001
37,2007,2,0.14900000000000002
38,2007,3,0.27899999999999997
39,2007,4,2.6390000000000002
40,2007,5,5.361
41,2007,6,165.178
42,2007,7,181.828
43,2007,8,182.257
44,2007,9,242.574
45,2007,10,16.503
46,2007,11,11.848999999999998
47,2007,12,3.495
48,2008,1,0.23399999999999999
49,2008,2,0.137
50,2008,3,1.422
51,2008,4,3.621
52,2008,5,2.783
53,2008,6,54.03
54,2008,7,80.25500000000001
55,2008,8,160.394
56,2008,9,304.96200000000005
57,2008,10,34.32
58,2008,11,9.768
59,2008,12,8.863
60,2009,1,0.254
61,2009,2,0.135
62,2009,3,1.257
63,2009,4,2.502
64,2009,5,15.587
65,2009,6,74.39
66,2009,7,127.36699999999999
67,2009,8,101.59199999999998
68,2009,9,179.42600000000002
69,2009,10,74.73399999999998
70,2009,11,83.55600000000001
71,2009,12,2.622
72,2010,1,0.351
73,2010,2,0.16400000000000003
74,2010,3,1.6639999999999997
75,2010,4,4.75
76,2010,5,9.164
77,2010,6,155.763
78,2010,7,162.687
79,2010,8,220.472
80,2010,9,203.495
81,2010,10,118.37400000000001
82,2010,11,78.40100000000001
83,2010,12,2.6590000000000003
84,2011,1,0.23399999999999999
85,2011,2,0.168
86,2011,3,0.23600000000000002
87,2011,4,5.052
88,2011,5,4.73
89,2011,6,85.97699999999999
90,2011,7,183.52299999999997
91,2011,8,158.982
92,2011,9,110.24600000000001
93,2011,10,92.039
94,2011,11,4.538
95,2011,12,2.604
96,2012,1,0.23399999999999999
97,2012,2,0.135
98,2012,3,0.124
99,2012,4,5.786
100,2012,5,9.963
101,2012,6,83.318
102,2012,7,102.721
103,2012,8,87.28200000000001
104,2012,9,139.729
105,2012,10,98.559
106,2012,11,10.181999999999999
107,2012,12,2.604
108,2013,1,0.284
109,2013,2,0.22700000000000004
110,2013,3,0.156
111,2013,4,2.6639999999999997
112,2013,5,3.8120000000000003
113,2013,6,204.96200000000002
114,2013,7,167.189
115,2013,8,61.074
116,2013,9,177.477
117,2013,10,68.457
118,2013,11,10.128
119,2013,12,3.6399999999999997
120,2014,1,0.333
121,2014,2,0.23000000000000004
122,2014,3,1.9480000000000002
123,2014,4,4.618
124,2014,5,13.535
125,2014,6,45.649
126,2014,7,160.872
127,2014,8,190.20600000000002
128,2014,9,75.92299999999999
129,2014,10,20.703000000000003
130,2014,11,29.638999999999996
131,2014,12,4.2700000000000005
132,2015,1,0.554
133,2015,2,0.228
134,2015,3,6.349
135,2015,4,2.739
136,2015,5,22.714
137,2015,6,126.229
138,2015,7,51.201
139,2015,8,73.46799999999999
140,2015,9,231.07899999999998
141,2015,10,67.196
142,2015,11,19.345
143,2015,12,2.928
144,2016,1,0.278
145,2016,2,0.5209999999999999
146,2016,3,2.641
147,2016,4,1.84
148,2016,5,4.904
149,2016,6,91.963
150,2016,7,234.093
151,2016,8,76.19800000000001
152,2016,9,227.886
153,2016,10,87.79700000000001
154,2016,11,6.832
155,2016,12,2.6390000000000002
156,2017,1,0.276
157,2017,2,0.21100000000000002
158,2017,3,0.198
159,2017,4,1.624
160,2017,5,8.619
161,2017,6,139.244
162,2017,7,63.11699999999999
163,2017,8,165.951
164,2017,9,266.935
165,2017,10,120.56899999999999
166,2017,11,6.984999999999999
167,2017,12,4.4079999999999995
168,2018,1,0.276
169,2018,2,0.65
170,2018,3,0.404
171,2018,4,3.7360000000000007
172,2018,5,5.993
173,2018,6,133.749
174,2018,7,92.07100000000001
175,2018,8,92.039
176,2018,9,40.268
177,2018,10,24.551
178,2018,11,12.791
179,2018,12,2.8310000000000004
180,2019,1,0.278
181,2019,2,0.25
182,2019,3,0.135
183,2019,4,3.9459999999999997
184,2019,5,1.971
185,2019,6,104.55799999999999
186,2019,7,123.063
187,2019,8,125.61500000000001
188,2019,9,219.05700000000002
189,2019,10,151.33800000000002
190,2019,11,20.676000000000002
191,2019,12,3.573
192,2020,1,0.394
193,2020,2,0.24300000000000002
194,2020,3,2.23
195,2020,4,0.0
196,2020,5,0.0
197,2020,6,0.0
198,2020,7,0.0
199,2020,8,0.0
200,2020,9,0.0
201,2020,10,0.0
202,2020,11,0.0
203,2020,12,0.0
