2007-01-23,2007-03-06,weather
2007-02-26,2007-04-09,NAVRATRA
2007-03-13,2007-04-24,INFLATION
2007-08-02,2007-09-13,weather
2007-09-09,2007-10-21,weather
2007-10-08,2007-11-19,hoarding
2007-12-08,2008-01-19,no
2008-01-22,2008-03-04,no
2008-03-13,2008-04-24,INFLATION
2008-03-24,2008-05-05,NAVRATRA
2008-05-06,2008-06-17,no
2008-05-20,2008-07-01,FUEL
2008-06-26,2008-08-07,weather
2008-08-09,2008-09-20,weather
2008-09-10,2008-10-22,weather
2008-10-15,2008-11-26,hoarding
2008-12-16,2009-01-27,weather
2009-01-31,2009-03-14,no
2009-04-11,2009-05-23,no
2009-06-24,2009-08-05,weather
2009-06-28,2009-08-09,hoarding
2009-08-29,2009-10-10,NAVRATRA
2009-09-16,2009-10-28,weather
2009-10-23,2009-12-04,weather
2009-11-28,2010-01-09,hoarding
2009-12-11,2010-01-22,hoarding
2010-02-12,2010-03-26,INFLATION
2010-04-23,2010-06-04,INFLATION
2010-06-05,2010-07-17,no
2010-07-25,2010-09-05,weather
2010-09-04,2010-10-16,weather
2010-10-07,2010-11-18,weather
2010-11-09,2010-12-21,weather
2010-12-19,2011-01-30,hoarding
2010-12-22,2011-02-02,no
2010-12-23,2011-02-03,hoarding
2011-02-04,2011-03-18,hoarding
2011-02-05,2011-03-19,no
2011-03-22,2011-05-03,no
2011-05-06,2011-06-17,no
2011-06-25,2011-08-06,FUEL
2011-07-22,2011-09-02,weather
2011-08-05,2011-09-16,weather
2011-08-12,2011-09-23,weather
2011-09-28,2011-11-09,no
2011-12-06,2012-01-17,weather
2012-01-21,2012-03-03,no
2012-05-24,2012-07-05,weather
2012-06-21,2012-08-02,hoarding
2012-07-09,2012-08-20,no
2012-08-29,2012-10-10,hoarding
2012-09-19,2012-10-31,weather
2012-10-22,2012-12-03,weather
2012-12-01,2013-01-13,hoarding
2012-12-11,2013-01-22,no
2012-12-18,2013-01-29,hoarding
2013-01-25,2013-03-08,no
2013-03-21,2013-05-02,NAVRATRA
2013-05-02,2013-06-13,hoarding
2013-05-05,2013-06-16,no
2013-06-03,2013-07-15,hoarding
2013-06-19,2013-07-31,no
2013-08-30,2013-10-11,weather
2013-09-21,2013-11-02,hoarding
2013-09-28,2013-11-09,weather
2013-10-12,2013-11-23,hoarding
2013-10-23,2013-12-04,hoarding
2013-12-21,2014-02-01,hoarding
2013-12-26,2014-02-06,no
2014-02-17,2014-03-31,weather
2014-03-10,2014-04-21,hoarding
2014-04-15,2014-05-27,no
2014-06-24,2014-08-05,weather
2014-07-25,2014-09-05,weather
2014-08-10,2014-09-21,weather
2014-09-19,2014-10-31,hoarding
2014-09-30,2014-11-11,hoarding
2014-10-17,2014-11-28,no
2014-12-21,2015-02-01,no
2015-03-15,2015-04-26,weather
2015-04-30,2015-06-11,no
2015-07-26,2015-09-06,weather
2015-08-08,2015-09-19,weather
2015-08-19,2015-09-30,weather
2015-09-29,2015-11-10,weather
2015-10-11,2015-11-22,hoarding
2015-12-16,2016-01-27,no
2016-04-14,2016-05-26,no
2016-05-27,2016-07-08,weather
2016-06-17,2016-07-29,hoarding
2016-06-27,2016-08-08,hoarding
2016-07-15,2016-08-26,weather
2016-09-05,2016-10-17,weather
2016-09-17,2016-10-29,hoarding
2016-10-21,2016-12-02,no
2016-12-10,2017-01-21,no
2017-01-24,2017-03-07,no
2017-03-28,2017-05-09,NAVRATRA
2017-04-18,2017-05-30,hoarding
2017-05-25,2017-07-06,weather
2017-07-08,2017-08-19,no
2017-08-22,2017-10-03,no
2017-10-06,2017-11-17,no
2017-12-20,2018-01-31,no
2018-04-19,2018-05-31,no
2018-05-19,2018-06-30,STRIKE
2018-06-03,2018-07-15,no
2018-07-18,2018-08-29,no
2018-09-01,2018-10-13,no
2018-09-24,2018-11-05,hoarding
2018-10-16,2018-11-27,no
2019-04-29,2019-06-11,hoarding
