2006-01-15,2006-02-26,supply
2006-03-20,2006-05-01,supply
2007-02-07,2007-03-21,supply
2007-06-25,2007-08-06,supply
2007-09-03,2007-10-15,supply
2007-12-19,2008-01-30,supply
2009-09-09,2009-10-21,supply
2010-12-23,2011-02-03,supply
2011-12-22,2012-02-02,supply
2012-03-30,2012-05-11,supply
2012-06-10,2012-07-22,no	
2012-09-07,2012-10-19,supply
2013-01-24,2013-03-07,supply
2013-07-17,2013-08-28,supply
2013-10-30,2013-12-11,supply
2013-12-26,2014-02-06,supply
2014-08-14,2014-09-25,supply
2015-02-05,2015-03-19,supply
2015-04-15,2015-05-27,no	
2015-07-22,2015-09-02,supply
2016-01-07,2016-02-18,supply
2016-07-30,2016-09-10,supply
2016-11-16,2016-12-28,supply
2017-01-13,2017-02-24,supply
2017-12-20,2018-01-31,supply
2018-03-28,2018-05-09,supply
2019-09-10,2019-10-22,supply
