"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2010,1,1,0.002,0
2010,1,2,0.026,0
2010,1,3,0,0
2010,2,1,0.16,0.078
2010,2,2,0.613,0.214
2010,2,3,0.09,0.026
2010,3,1,0.022,0.04
2010,3,2,1.152,0.014
2010,3,3,0.192,0.417
2010,4,1,1.792,2.786
2010,4,2,3.23,4.122
2010,4,3,7.537,4.609
2010,5,1,10.365,8.8
2010,5,2,7.319,11.279
2010,5,3,6.731,15.549
2010,6,1,15.194,23.267
2010,6,2,52.313,28.098
2010,6,3,17.523,28.006
2010,7,1,42.97,28.729
2010,7,2,30.81,29.092
2010,7,3,82.473,35.956
2010,8,1,23.894,26.816
2010,8,2,71.16,27.074
2010,8,3,82.721,36.739
2010,9,1,43.754,53.93
2010,9,2,85.198,51.986
2010,9,3,84.198,48.814
2010,10,1,28.655,38.699
2010,10,2,49.126,28.547
2010,10,3,26.725,13.824
2010,11,1,31.764,9.743
2010,11,2,14.479,6.196
2010,11,3,3.705,3.79
2010,12,1,1.337,1.002
2010,12,2,0.918,0.527
2010,12,3,0.752,0.178
2011,1,1,0,0
2011,1,2,0,0
2011,1,3,0,0
2011,2,1,0.156,0.078
2011,2,2,0.275,0.214
2011,2,3,0.152,0.026
2011,3,1,0.034,0.04
2011,3,2,0.024,0.014
2011,3,3,0.248,0.417
2011,4,1,4.571,2.786
2011,4,2,12.715,4.122
2011,4,3,6.267,4.609
2011,5,1,8.521,8.8
2011,5,2,6.786,11.279
2011,5,3,12.641,15.549
2011,6,1,20.914,23.267
2011,6,2,8.543,28.098
2011,6,3,13.834,28.006
2011,7,1,39.545,28.729
2011,7,2,38.81,29.092
2011,7,3,55.345,35.956
2011,8,1,15.673,26.816
2011,8,2,26.575,27.074
2011,8,3,51.363,36.739
2011,9,1,45.05,53.93
2011,9,2,35.373,51.986
2011,9,3,6.896,48.814
2011,10,1,4.754,38.699
2011,10,2,82.499,28.547
2011,10,3,4.559,13.824
2011,11,1,2.938,9.743
2011,11,2,2.018,6.196
2011,11,3,2.253,3.79
2011,12,1,1.002,1.002
2011,12,2,0.613,0.527
2011,12,3,0.226,0.178
2012,1,1,0,0
2012,1,2,0,0
2012,1,3,0,0
2012,2,1,0.154,0.078
2012,2,2,0.251,0.214
2012,2,3,0.04,0.026
2012,3,1,0.03,0.04
2012,3,2,0.022,0.014
2012,3,3,0.417,0.417
2012,4,1,4.573,2.786
2012,4,2,12.16,4.122
2012,4,3,3.948,4.609
2012,5,1,9.713,8.8
2012,5,2,6.108,11.279
2012,5,3,0.565,15.549
2012,6,1,9.222,23.267
2012,6,2,27.88,28.098
2012,6,3,16.902,28.006
2012,7,1,25.892,28.729
2012,7,2,26.277,29.092
2012,7,3,29.411,35.956
2012,8,1,10.285,26.816
2012,8,2,11.95,27.074
2012,8,3,32.048,36.739
2012,9,1,62.936,53.93
2012,9,2,15.453,51.986
2012,9,3,29.323,48.814
2012,10,1,76.683,38.699
2012,10,2,2.533,28.547
2012,10,3,29.483,13.824
2012,11,1,19.834,9.743
2012,11,2,1.701,6.196
2012,11,3,1.637,3.79
2012,12,1,1.002,1.002
2012,12,2,0.617,0.527
2012,12,3,0.226,0.178