"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2013,1,1,0,0
2013,1,2,0,0
2013,1,3,0,0
2013,2,1,0.365,0.078
2013,2,2,0.421,0.214
2013,2,3,0.287,0.026
2013,3,1,0.076,0.04
2013,3,2,0.106,0.014
2013,3,3,0.423,0.417
2013,4,1,2.104,2.786
2013,4,2,2.804,4.122
2013,4,3,12.126,4.609
2013,5,1,9.271,8.8
2013,5,2,2.389,11.279
2013,5,3,10.076,15.549
2013,6,1,44.196,23.267
2013,6,2,31.739,28.098
2013,6,3,36.854,28.006
2013,7,1,26.98,28.729
2013,7,2,57.547,29.092
2013,7,3,54.583,35.956
2013,8,1,18.703,26.816
2013,8,2,26.864,27.074
2013,8,3,3.579,36.739
2013,9,1,59.8,53.93
2013,9,2,168.669,51.986
2013,9,3,11.22,48.814
2013,10,1,21.022,38.699
2013,10,2,7.581,28.547
2013,10,3,37.134,13.824
2013,11,1,4.234,9.743
2013,11,2,1.866,6.196
2013,11,3,2.335,3.79
2013,12,1,1.132,1.002
2013,12,2,0.521,0.527
2013,12,3,0.204,0.178
2014,1,1,0,0
2014,1,2,0,0
2014,1,3,0,0
2014,2,1,0.22,0.078
2014,2,2,0.361,0.214
2014,2,3,0.299,0.026
2014,3,1,1.99,0.04
2014,3,2,0.729,0.014
2014,3,3,1.062,0.417
2014,4,1,3.208,2.786
2014,4,2,6.004,4.122
2014,4,3,10.601,4.609
2014,5,1,9.495,8.8
2014,5,2,6.429,11.279
2014,5,3,14.882,15.549
2014,6,1,24.754,23.267
2014,6,2,8.399,28.098
2014,6,3,5.563,28.006
2014,7,1,47.062,28.729
2014,7,2,29.687,29.092
2014,7,3,43.788,35.956
2014,8,1,20.156,26.816
2014,8,2,18.06,27.074
2014,8,3,121.902,36.739
2014,9,1,45.208,53.93
2014,9,2,24.583,51.986
2014,9,3,11.295,48.814
2014,10,1,6.421,38.699
2014,10,2,3.427,28.547
2014,10,3,18.631,13.824
2014,11,1,6.226,9.743
2014,11,2,27.679,6.196
2014,11,3,4.814,3.79
2014,12,1,1.116,1.002
2014,12,2,0.711,0.527
2014,12,3,0.236,0.178
2015,1,1,0.002,0
2015,1,2,0,0
2015,1,3,0,0
2015,2,1,0.317,0.078
2015,2,2,0.427,0.214
2015,2,3,0.102,0.026
2015,3,1,0.679,0.04
2015,3,2,0.192,0.014
2015,3,3,2.892,0.417
2015,4,1,2.705,2.786
2015,4,2,3.417,4.122
2015,4,3,4.335,4.609
2015,5,1,31.84,8.8
2015,5,2,11.267,11.279
2015,5,3,20.876,15.549
2015,6,1,22.248,23.267
2015,6,2,32.687,28.098
2015,6,3,17.741,28.006
2015,7,1,3.701,28.729
2015,7,2,5.784,29.092
2015,7,3,6.762,35.956
2015,8,1,24.621,26.816
2015,8,2,20.154,27.074
2015,8,3,9.178,36.739
2015,9,1,82.333,53.93
2015,9,2,101.557,51.986
2015,9,3,14.806,48.814
2015,10,1,61.892,38.699
2015,10,2,3.735,28.547
2015,10,3,2.884,13.824
2015,11,1,8.627,9.743
2015,11,2,2.687,6.196
2015,11,3,3.511,3.79
2015,12,1,1.002,1.002
2015,12,2,0.577,0.527
2015,12,3,0.265,0.178