"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2007,1,1,0,0
2007,1,2,0,0
2007,1,3,0,0
2007,2,1,0.134,0.078
2007,2,2,0.23,0.214
2007,2,3,0.034,0.026
2007,3,1,0.03,0.04
2007,3,2,0.022,0.014
2007,3,3,0.23,0.417
2007,4,1,2.599,2.786
2007,4,2,3.07,4.122
2007,4,3,3.535,4.609
2007,5,1,4.545,8.8
2007,5,2,1.547,11.279
2007,5,3,7.397,15.549
2007,6,1,33.002,23.267
2007,6,2,33.98,28.098
2007,6,3,79.854,28.006
2007,7,1,53.978,28.729
2007,7,2,4.557,29.092
2007,7,3,71.006,35.956
2007,8,1,43.429,26.816
2007,8,2,6.337,27.074
2007,8,3,85.998,36.739
2007,9,1,78.898,53.93
2007,9,2,147.974,51.986
2007,9,3,42.81,48.814
2007,10,1,2.206,38.699
2007,10,2,2.24,28.547
2007,10,3,21.772,13.824
2007,11,1,14.122,9.743
2007,11,2,3.248,6.196
2007,11,3,3.653,3.79
2007,12,1,1.1,1.002
2007,12,2,0.619,0.527
2007,12,3,0.287,0.178
2008,1,1,0,0
2008,1,2,0,0
2008,1,3,0,0
2008,2,1,0.142,0.078
2008,2,2,0.257,0.214
2008,2,3,0.048,0.026
2008,3,1,0.679,0.04
2008,3,2,0.323,0.014
2008,3,3,4.76,0.417
2008,4,1,3.301,2.786
2008,4,2,2.595,4.122
2008,4,3,3.509,4.609
2008,5,1,2.198,8.8
2008,5,2,2.469,11.279
2008,5,3,8.188,15.549
2008,6,1,10.884,23.267
2008,6,2,12.76,28.098
2008,6,3,14.988,28.006
2008,7,1,6.038,28.729
2008,7,2,6.313,29.092
2008,7,3,51.263,35.956
2008,8,1,48.513,26.816
2008,8,2,20.739,27.074
2008,8,3,39.601,36.739
2008,9,1,135.954,53.93
2008,9,2,65.942,51.986
2008,9,3,12.208,48.814
2008,10,1,36.593,38.699
2008,10,2,4.978,28.547
2008,10,3,4.657,13.824
2008,11,1,3.581,9.743
2008,11,2,14.691,6.196
2008,11,3,10.397,3.79
2008,12,1,1.685,1.002
2008,12,2,0.537,0.527
2008,12,3,0.299,0.178
2009,1,1,0,0
2009,1,2,0,0
2009,1,3,0,0
2009,2,1,0.138,0.078
2009,2,2,0.251,0.214
2009,2,3,0.04,0.026
2009,3,1,0.028,0.04
2009,3,2,0.543,0.014
2009,3,3,0.267,0.417
2009,4,1,3.551,2.786
2009,4,2,1.818,4.122
2009,4,3,2.128,4.609
2009,5,1,3.812,8.8
2009,5,2,32.711,11.279
2009,5,3,9.752,15.549
2009,6,1,16.551,23.267
2009,6,2,30.441,28.098
2009,6,3,22.493,28.006
2009,7,1,30.11,28.729
2009,7,2,21.062,29.092
2009,7,3,18.413,35.956
2009,8,1,1.924,26.816
2009,8,2,38.489,27.074
2009,8,3,42.377,36.739
2009,9,1,82.902,53.93
2009,9,2,26.283,51.986
2009,9,3,109.12,48.814
2009,10,1,94.729,38.699
2009,10,2,2.425,28.547
2009,10,3,4.246,13.824
2009,11,1,26.655,9.743
2009,11,2,31.279,6.196
2009,11,3,6.796,3.79
2009,12,1,1.024,1.002
2009,12,2,0.752,0.527
2009,12,3,0.481,0.178