"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,0,0
2019,1,2,0,0
2019,1,3,0,0
2019,2,1,0.313,0.078
2019,2,2,0.429,0.214
2019,2,3,0.116,0.026
2019,3,1,0.096,0.04
2019,3,2,0.024,0.014
2019,3,3,1.547,0.417
2019,4,1,3.246,2.786
2019,4,2,5.938,4.122
2019,4,3,2.403,4.609
2019,5,1,2.924,8.8
2019,5,2,1.222,11.279
2019,5,3,5.259,15.549
2019,6,1,30.964,23.267
2019,6,2,12.583,28.098
2019,6,3,40.711,28.006
2019,7,1,13.85,28.729
2019,7,2,21.752,29.092
2019,7,3,73.248,35.956
2019,8,1,38.01,26.816
2019,8,2,8.681,27.074
2019,8,3,23.014,36.739
2019,9,1,23.176,53.93
2019,9,2,61.88,51.986
2019,9,3,115.735,48.814
2019,10,1,63.21,38.699
2019,10,2,90.242,28.547
2019,10,3,54.727,13.824
2019,11,1,24.695,9.743
2019,11,2,1.908,6.196
2019,11,3,2.361,3.79
2019,12,1,1.627,1.002
2019,12,2,0.8,0.527
2019,12,3,0.525,0.178
2020,1,1,0.004,0
2020,1,2,0,0
2020,1,3,0.004,0
2020,2,1,0.461,0.078
2020,2,2,0.501,0.214
2020,2,3,0.238,0.026
2020,3,1,0.14,0.04
2020,3,2,0.152,0.014
2020,3,3,1.401,0.417
2020,4,1,,2.786
2020,4,2,,4.122
2020,4,3,,4.609
2020,5,1,,8.8
2020,5,2,,11.279
2020,5,3,,15.549
2020,6,1,,23.267
2020,6,2,,28.098
2020,6,3,,28.006
2020,7,1,,28.729
2020,7,2,,29.092
2020,7,3,,35.956
2020,8,1,,26.816
2020,8,2,,27.074
2020,8,3,,36.739
2020,9,1,,53.93
2020,9,2,,51.986
2020,9,3,,48.814
2020,10,1,,38.699
2020,10,2,,28.547
2020,10,3,,13.824
2020,11,1,,9.743
2020,11,2,,6.196
2020,11,3,,3.79
2020,12,1,,1.002
2020,12,2,,0.527
2020,12,3,,0.178