"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2007,1,1,0.217,0.189
2007,1,2,0.014,0.011
2007,1,3,0,0
2007,2,1,0,0
2007,2,2,0,0
2007,2,3,0,0
2007,3,1,0,0
2007,3,2,0.042,0.054
2007,3,3,0.687,0.766
2007,4,1,3.924,3.82
2007,4,2,7.332,5.242
2007,4,3,3.738,4.608
2007,5,1,3.392,6.828
2007,5,2,1.397,7.806
2007,5,3,15.121,19.67
2007,6,1,73.932,73.377
2007,6,2,84.096,85.118
2007,6,3,321.411,78.27
2007,7,1,200.701,93.135
2007,7,2,19.577,87.792
2007,7,3,142.27,108.115
2007,8,1,110.363,68.651
2007,8,2,27.639,62.828
2007,8,3,171.245,70.834
2007,9,1,78.904,60.152
2007,9,2,148.197,54.087
2007,9,3,52.462,53.924
2007,10,1,1.155,45.107
2007,10,2,2.056,35.42
2007,10,3,18.668,17.028
2007,11,1,20.425,12.766
2007,11,2,3.966,10.631
2007,11,3,7.304,6.059
2007,12,1,3.265,1.817
2007,12,2,1.096,1.113
2007,12,3,0.915,0.851
2008,1,1,0.217,0.189
2008,1,2,0.014,0.011
2008,1,3,0,0
2008,2,1,0,0
2008,2,2,0,0
2008,2,3,0,0
2008,3,1,0.527,0
2008,3,2,0.668,0.054
2008,3,3,4.369,0.766
2008,4,1,5.042,3.82
2008,4,2,2.915,5.242
2008,4,3,4.479,4.608
2008,5,1,1.713,6.828
2008,5,2,1.304,7.806
2008,5,3,25.287,19.67
2008,6,1,49.152,73.377
2008,6,2,30.445,85.118
2008,6,3,46.935,78.27
2008,7,1,29.803,93.135
2008,7,2,23.535,87.792
2008,7,3,124.882,108.115
2008,8,1,94.459,68.651
2008,8,2,74.71,62.828
2008,8,3,70.468,70.834
2008,9,1,213.608,60.152
2008,9,2,54.972,54.087
2008,9,3,7.623,53.924
2008,10,1,40.828,45.107
2008,10,2,2.42,35.42
2008,10,3,3.259,17.028
2008,11,1,2.997,12.766
2008,11,2,8.121,10.631
2008,11,3,11.352,6.059
2008,12,1,6.169,1.817
2008,12,2,1.51,1.113
2008,12,3,1.346,0.851
2009,1,1,0.217,0.189
2009,1,2,0.014,0.011
2009,1,3,0,0
2009,2,1,0,0
2009,2,2,0,0
2009,2,3,0,0
2009,3,1,0.031,0
2009,3,2,1,0.054
2009,3,3,0.814,0.766
2009,4,1,5.186,3.82
2009,4,2,3.741,5.242
2009,4,3,2.544,4.608
2009,5,1,2.245,6.828
2009,5,2,15.823,7.806
2009,5,3,7.313,19.67
2009,6,1,57.363,73.377
2009,6,2,69.89,85.118
2009,6,3,57.459,78.27
2009,7,1,146.397,93.135
2009,7,2,99.245,87.792
2009,7,3,93.679,108.115
2009,8,1,10.282,68.651
2009,8,2,99.211,62.828
2009,8,3,82.321,70.834
2009,9,1,84.454,60.152
2009,9,2,35.003,54.087
2009,9,3,109.361,53.924
2009,10,1,104.231,45.107
2009,10,2,2.876,35.42
2009,10,3,5.158,17.028
2009,11,1,46.67,12.766
2009,11,2,90.794,10.631
2009,11,3,6.837,6.059
2009,12,1,1.577,1.817
2009,12,2,1.104,1.113
2009,12,3,0.913,0.851