"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2010,1,1,0.265,0.189
2010,1,2,0.023,0.011
2010,1,3,0,0
2010,2,1,0.008,0
2010,2,2,0,0
2010,2,3,0,0
2010,3,1,0,0
2010,3,2,1.172,0.054
2010,3,3,0.662,0.766
2010,4,1,3.921,3.82
2010,4,2,5.676,5.242
2010,4,3,8.789,4.608
2010,5,1,8.135,6.828
2010,5,2,4.676,7.806
2010,5,3,2.18,19.67
2010,6,1,47.606,73.377
2010,6,2,180.645,85.118
2010,6,3,47.423,78.27
2010,7,1,116.279,93.135
2010,7,2,69.518,87.792
2010,7,3,263.403,108.115
2010,8,1,62.707,68.651
2010,8,2,169.682,62.828
2010,8,3,181.124,70.834
2010,9,1,32.003,60.152
2010,9,2,98.11,54.087
2010,9,3,113.687,53.924
2010,10,1,47.465,45.107
2010,10,2,77.769,35.42
2010,10,3,19.223,17.028
2010,11,1,69.141,12.766
2010,11,2,38.699,10.631
2010,11,3,10.546,6.059
2010,12,1,1.67,1.817
2010,12,2,1.101,1.113
2010,12,3,0.966,0.851
2011,1,1,0.217,0.189
2011,1,2,0.014,0.011
2011,1,3,0,0
2011,2,1,0,0
2011,2,2,0,0
2011,2,3,0,0
2011,3,1,0,0
2011,3,2,0.048,0.054
2011,3,3,0.682,0.766
2011,4,1,4.715,3.82
2011,4,2,15.397,5.242
2011,4,3,3.724,4.608
2011,5,1,5.955,6.828
2011,5,2,5.324,7.806
2011,5,3,17.042,19.67
2011,6,1,133.659,73.377
2011,6,2,27.631,85.118
2011,6,3,40.073,78.27
2011,7,1,111.09,93.135
2011,7,2,173.713,87.792
2011,7,3,84.777,108.115
2011,8,1,42.2,68.651
2011,8,2,45.099,62.828
2011,8,3,101.144,70.834
2011,9,1,94.913,60.152
2011,9,2,44.808,54.087
2011,9,3,5.73,53.924
2011,10,1,20.124,45.107
2011,10,2,141.048,35.42
2011,10,3,6.907,17.028
2011,11,1,3.096,12.766
2011,11,2,2.814,10.631
2011,11,3,3.989,6.059
2011,12,1,1.566,1.817
2011,12,2,1.101,1.113
2011,12,3,0.865,0.851
2012,1,1,0.217,0.189
2012,1,2,0.014,0.011
2012,1,3,0,0
2012,2,1,0.085,0
2012,2,2,0,0
2012,2,3,0,0
2012,3,1,0,0
2012,3,2,0.042,0.054
2012,3,3,0.665,0.766
2012,4,1,6.665,3.82
2012,4,2,7.327,5.242
2012,4,3,3.141,4.608
2012,5,1,6.479,6.828
2012,5,2,3.273,7.806
2012,5,3,1.062,19.67
2012,6,1,24.518,73.377
2012,6,2,56.831,85.118
2012,6,3,23.09,78.27
2012,7,1,64.07,93.135
2012,7,2,78.448,87.792
2012,7,3,95.921,108.115
2012,8,1,35.141,68.651
2012,8,2,36.076,62.828
2012,8,3,68.014,70.834
2012,9,1,78.507,60.152
2012,9,2,14.144,54.087
2012,9,3,25.639,53.924
2012,10,1,113.575,45.107
2012,10,2,2.003,35.42
2012,10,3,27.456,17.028
2012,11,1,15.096,12.766
2012,11,2,1.949,10.631
2012,11,3,2.341,6.059
2012,12,1,1.566,1.817
2012,12,2,1.101,1.113
2012,12,3,0.865,0.851