"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,0.214,0.189
2019,1,2,0.017,0.011
2019,1,3,0.02,0
2019,2,1,0.017,0
2019,2,2,0.017,0
2019,2,3,0,0
2019,3,1,0,0
2019,3,2,0.02,0.054
2019,3,3,0.811,0.766
2019,4,1,1.811,3.82
2019,4,2,6.346,5.242
2019,4,3,3.623,4.608
2019,5,1,1.068,6.828
2019,5,2,0.839,7.806
2019,5,3,1.803,19.67
2019,6,1,63.932,73.377
2019,6,2,28.394,85.118
2019,6,3,119.927,78.27
2019,7,1,67.048,93.135
2019,7,2,43.028,87.792
2019,7,3,141.208,108.115
2019,8,1,213.166,68.651
2019,8,2,18.141,62.828
2019,8,3,28.423,70.834
2019,9,1,33.22,60.152
2019,9,2,57.67,54.087
2019,9,3,115.025,53.924
2019,10,1,60.611,45.107
2019,10,2,98.899,35.42
2019,10,3,115.304,17.028
2019,11,1,26.941,12.766
2019,11,2,2.034,10.631
2019,11,3,2.78,6.059
2019,12,1,2.546,1.817
2019,12,2,1.349,1.113
2019,12,3,1.169,0.851
2020,1,1,0.225,0.189
2020,1,2,0.02,0.011
2020,1,3,0.028,0
2020,2,1,0.023,0
2020,2,2,0.02,0
2020,2,3,0.011,0
2020,3,1,0.02,0
2020,3,2,0.135,0.054
2020,3,3,1.228,0.766
2020,4,1,,3.82
2020,4,2,,5.242
2020,4,3,,4.608
2020,5,1,,6.828
2020,5,2,,7.806
2020,5,3,,19.67
2020,6,1,,73.377
2020,6,2,,85.118
2020,6,3,,78.27
2020,7,1,,93.135
2020,7,2,,87.792
2020,7,3,,108.115
2020,8,1,,68.651
2020,8,2,,62.828
2020,8,3,,70.834
2020,9,1,,60.152
2020,9,2,,54.087
2020,9,3,,53.924
2020,10,1,,45.107
2020,10,2,,35.42
2020,10,3,,17.028
2020,11,1,,12.766
2020,11,2,,10.631
2020,11,3,,6.059
2020,12,1,,1.817
2020,12,2,,1.113
2020,12,3,,0.851