"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2013,1,1,0.137,0.027
2013,1,2,0.059,0.058
2013,1,3,0.088,0.059
2013,2,1,0.106,0.058
2013,2,2,0.108,0.059
2013,2,3,0.013,0.011
2013,3,1,0,0.004
2013,3,2,0.009,0.034
2013,3,3,0.147,0.138
2013,4,1,0.317,0.599
2013,4,2,1.052,0.881
2013,4,3,1.295,1.203
2013,5,1,1.272,2.683
2013,5,2,0.896,3.718
2013,5,3,1.644,6.75
2013,6,1,65.18,34.07
2013,6,2,79.721,43.696
2013,6,3,60.061,37.682
2013,7,1,33.617,34.486
2013,7,2,73.703,32.959
2013,7,3,59.869,46.036
2013,8,1,27.381,39.491
2013,8,2,16.432,30.773
2013,8,3,17.261,53.914
2013,9,1,45.558,58.426
2013,9,2,110.619,53.209
2013,9,3,21.3,48.565
2013,10,1,46.606,36.694
2013,10,2,8.507,23.232
2013,10,3,13.344,10.272
2013,11,1,1.635,7.241
2013,11,2,1.29,6.455
2013,11,3,7.203,3.998
2013,12,1,1.921,1.124
2013,12,2,0.926,0.854
2013,12,3,0.793,0.665
2014,1,1,0.162,0.027
2014,1,2,0.07,0.058
2014,1,3,0.101,0.059
2014,2,1,0.104,0.058
2014,2,2,0.11,0.059
2014,2,3,0.016,0.011
2014,3,1,0.707,0.004
2014,3,2,0.973,0.034
2014,3,3,0.268,0.138
2014,4,1,0.475,0.599
2014,4,2,1.897,0.881
2014,4,3,2.246,1.203
2014,5,1,3.764,2.683
2014,5,2,4.156,3.718
2014,5,3,5.615,6.75
2014,6,1,28.451,34.07
2014,6,2,12.338,43.696
2014,6,3,4.86,37.682
2014,7,1,29.367,34.486
2014,7,2,42.133,32.959
2014,7,3,89.372,46.036
2014,8,1,11.942,39.491
2014,8,2,18.178,30.773
2014,8,3,160.086,53.914
2014,9,1,61.439,58.426
2014,9,2,9.784,53.209
2014,9,3,4.7,48.565
2014,10,1,5.757,36.694
2014,10,2,4.282,23.232
2014,10,3,10.664,10.272
2014,11,1,2.342,7.241
2014,11,2,25.187,6.455
2014,11,3,2.11,3.998
2014,12,1,1.777,1.124
2014,12,2,1.628,0.854
2014,12,3,0.865,0.665
2015,1,1,0.317,0.027
2015,1,2,0.106,0.058
2015,1,3,0.131,0.059
2015,2,1,0.103,0.058
2015,2,2,0.112,0.059
2015,2,3,0.013,0.011
2015,3,1,0.39,0.004
2015,3,2,1.603,0.034
2015,3,3,4.356,0.138
2015,4,1,0.489,0.599
2015,4,2,1.335,0.881
2015,4,3,0.915,1.203
2015,5,1,12.054,2.683
2015,5,2,5.809,3.718
2015,5,3,4.851,6.75
2015,6,1,32.408,34.07
2015,6,2,55.871,43.696
2015,6,3,37.95,37.682
2015,7,1,1.721,34.486
2015,7,2,8.025,32.959
2015,7,3,41.455,46.036
2015,8,1,34.522,39.491
2015,8,2,26.471,30.773
2015,8,3,12.475,53.914
2015,9,1,71.617,58.426
2015,9,2,157.074,53.209
2015,9,3,2.388,48.565
2015,10,1,53.335,36.694
2015,10,2,5.223,23.232
2015,10,3,8.638,10.272
2015,11,1,4.944,7.241
2015,11,2,1.322,6.455
2015,11,3,13.079,3.998
2015,12,1,1.156,1.124
2015,12,2,0.937,0.854
2015,12,3,0.835,0.665