"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2010,1,1,0.189,0.027
2010,1,2,0.088,0.058
2010,1,3,0.074,0.059
2010,2,1,0.065,0.058
2010,2,2,0.088,0.059
2010,2,3,0.011,0.011
2010,3,1,0.065,0.004
2010,3,2,1.362,0.034
2010,3,3,0.237,0.138
2010,4,1,0.782,0.599
2010,4,2,0.754,0.881
2010,4,3,3.214,1.203
2010,5,1,6.549,2.683
2010,5,2,1.847,3.718
2010,5,3,0.768,6.75
2010,6,1,33.942,34.07
2010,6,2,78.486,43.696
2010,6,3,43.335,37.682
2010,7,1,46.023,34.486
2010,7,2,37.457,32.959
2010,7,3,79.207,46.036
2010,8,1,35.531,39.491
2010,8,2,84.162,30.773
2010,8,3,100.779,53.914
2010,9,1,76.369,58.426
2010,9,2,43.133,53.209
2010,9,3,83.993,48.565
2010,10,1,10.457,36.694
2010,10,2,63.169,23.232
2010,10,3,44.748,10.272
2010,11,1,31.068,7.241
2010,11,2,31.245,6.455
2010,11,3,16.088,3.998
2010,12,1,1.022,1.124
2010,12,2,0.892,0.854
2010,12,3,0.745,0.665
2011,1,1,0.112,0.027
2011,1,2,0.059,0.058
2011,1,3,0.063,0.059
2011,2,1,0.076,0.058
2011,2,2,0.072,0.059
2011,2,3,0.02,0.011
2011,3,1,0.004,0.004
2011,3,2,0.031,0.034
2011,3,3,0.201,0.138
2011,4,1,1.101,0.599
2011,4,2,1.701,0.881
2011,4,3,2.25,1.203
2011,5,1,1.038,2.683
2011,5,2,1.518,3.718
2011,5,3,2.174,6.75
2011,6,1,56.692,34.07
2011,6,2,12.664,43.696
2011,6,3,16.621,37.682
2011,7,1,51.804,34.486
2011,7,2,58.777,32.959
2011,7,3,72.942,46.036
2011,8,1,21.496,39.491
2011,8,2,35.522,30.773
2011,8,3,101.964,53.914
2011,9,1,59.615,58.426
2011,9,2,45.698,53.209
2011,9,3,4.933,48.565
2011,10,1,2.687,36.694
2011,10,2,86.419,23.232
2011,10,3,2.933,10.272
2011,11,1,1.295,7.241
2011,11,2,1.162,6.455
2011,11,3,2.081,3.998
2011,12,1,1.018,1.124
2011,12,2,0.876,0.854
2011,12,3,0.71,0.665
2012,1,1,0.106,0.027
2012,1,2,0.058,0.058
2012,1,3,0.07,0.059
2012,2,1,0.063,0.058
2012,2,2,0.061,0.059
2012,2,3,0.011,0.011
2012,3,1,0,0.004
2012,3,2,0,0.034
2012,3,3,0.124,0.138
2012,4,1,1.049,0.599
2012,4,2,3.579,0.881
2012,4,3,1.158,1.203
2012,5,1,5.829,2.683
2012,5,2,3.112,3.718
2012,5,3,1.022,6.75
2012,6,1,13.863,34.07
2012,6,2,46.653,43.696
2012,6,3,22.802,37.682
2012,7,1,52.691,34.486
2012,7,2,19.255,32.959
2012,7,3,30.775,46.036
2012,8,1,26.005,39.491
2012,8,2,7.489,30.773
2012,8,3,53.788,53.914
2012,9,1,91.245,58.426
2012,9,2,21.739,53.209
2012,9,3,26.745,48.565
2012,10,1,81.705,36.694
2012,10,2,2.394,23.232
2012,10,3,14.46,10.272
2012,11,1,6.863,7.241
2012,11,2,1.466,6.455
2012,11,3,1.853,3.998
2012,12,1,1.018,1.124
2012,12,2,0.876,0.854
2012,12,3,0.71,0.665