"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0.131,0.027
2016,1,2,0.059,0.058
2016,1,3,0.088,0.059
2016,2,1,0.079,0.058
2016,2,2,0.158,0.059
2016,2,3,0.284,0.011
2016,3,1,1.065,0.004
2016,3,2,0.058,0.034
2016,3,3,1.518,0.138
2016,4,1,0.354,0.599
2016,4,2,0.556,0.881
2016,4,3,0.93,1.203
2016,5,1,1.415,2.683
2016,5,2,2.498,3.718
2016,5,3,0.991,6.75
2016,6,1,26.396,34.07
2016,6,2,24.797,43.696
2016,6,3,40.77,37.682
2016,7,1,115.534,34.486
2016,7,2,45.446,32.959
2016,7,3,73.113,46.036
2016,8,1,29.261,39.491
2016,8,2,6.09,30.773
2016,8,3,40.847,53.914
2016,9,1,4.937,58.426
2016,9,2,140.016,53.209
2016,9,3,82.933,48.565
2016,10,1,70.558,36.694
2016,10,2,6.572,23.232
2016,10,3,10.667,10.272
2016,11,1,1.14,7.241
2016,11,2,4.183,6.455
2016,11,3,1.509,3.998
2016,12,1,1.02,1.124
2016,12,2,0.883,0.854
2016,12,3,0.736,0.665
2017,1,1,0.131,0.027
2017,1,2,0.059,0.058
2017,1,3,0.086,0.059
2017,2,1,0.099,0.058
2017,2,2,0.099,0.059
2017,2,3,0.013,0.011
2017,3,1,0.085,0.004
2017,3,2,0,0.034
2017,3,3,0.113,0.138
2017,4,1,0.288,0.599
2017,4,2,0.509,0.881
2017,4,3,0.827,1.203
2017,5,1,2.466,2.683
2017,5,2,5.103,3.718
2017,5,3,1.05,6.75
2017,6,1,55.937,34.07
2017,6,2,66.444,43.696
2017,6,3,16.863,37.682
2017,7,1,2.879,34.486
2017,7,2,47.112,32.959
2017,7,3,13.126,46.036
2017,8,1,5.462,39.491
2017,8,2,64.475,30.773
2017,8,3,96.014,53.914
2017,9,1,41.944,58.426
2017,9,2,171.612,53.209
2017,9,3,53.379,48.565
2017,10,1,68.734,36.694
2017,10,2,48.556,23.232
2017,10,3,3.279,10.272
2017,11,1,1.791,7.241
2017,11,2,1.676,6.455
2017,11,3,3.518,3.998
2017,12,1,2.444,1.124
2017,12,2,1.198,0.854
2017,12,3,0.766,0.665
2018,1,1,0.131,0.027
2018,1,2,0.059,0.058
2018,1,3,0.086,0.059
2018,2,1,0.522,0.058
2018,2,2,0.115,0.059
2018,2,3,0.013,0.011
2018,3,1,0,0.004
2018,3,2,0.007,0.034
2018,3,3,0.397,0.138
2018,4,1,1.088,0.599
2018,4,2,1.698,0.881
2018,4,3,0.95,1.203
2018,5,1,1.049,2.683
2018,5,2,1.113,3.718
2018,5,3,3.831,6.75
2018,6,1,52.621,34.07
2018,6,2,20.04,43.696
2018,6,3,61.088,37.682
2018,7,1,46.151,34.486
2018,7,2,34.871,32.959
2018,7,3,11.049,46.036
2018,8,1,2.444,39.491
2018,8,2,61.437,30.773
2018,8,3,28.158,53.914
2018,9,1,7.187,58.426
2018,9,2,8.73,53.209
2018,9,3,24.351,48.565
2018,10,1,9.036,36.694
2018,10,2,11.788,23.232
2018,10,3,3.727,10.272
2018,11,1,8.669,7.241
2018,11,2,2.457,6.455
2018,11,3,1.665,3.998
2018,12,1,1.277,1.124
2018,12,2,0.869,0.854
2018,12,3,0.685,0.665