,date,price
0,2006-01-01,460.0
1,2006-01-02,480.0
2,2006-01-03,480.0
3,2006-01-04,480.0
4,2006-01-05,450.0
5,2006-01-06,500.0
6,2006-01-07,540.0
7,2006-01-08,560.0
8,2006-01-09,610.0
9,2006-01-10,670.0
10,2006-01-11,420.0
11,2006-01-12,420.0
12,2006-01-13,420.0
13,2006-01-14,400.0
14,2006-01-15,390.0
15,2006-01-16,390.0
16,2006-01-17,380.0
17,2006-01-18,380.0
18,2006-01-19,380.0
19,2006-01-20,370.0
20,2006-01-21,370.0
21,2006-01-22,360.0
22,2006-01-23,360.0
23,2006-01-24,350.0
24,2006-01-25,360.0
25,2006-01-26,360.0
26,2006-01-27,370.0
27,2006-01-28,380.0
28,2006-01-29,390.0
29,2006-01-30,390.0
30,2006-01-31,410.0
31,2006-02-01,450.0
32,2006-02-02,410.0
33,2006-02-03,380.0
34,2006-02-04,470.0
35,2006-02-05,500.0
36,2006-02-06,500.0
37,2006-02-07,530.0
38,2006-02-08,620.0
39,2006-02-09,620.0
40,2006-02-10,670.0
41,2006-02-11,950.0
42,2006-02-12,660.0
43,2006-02-13,400.0
44,2006-02-14,400.0
45,2006-02-15,410.0
46,2006-02-16,410.0
47,2006-02-17,410.0
48,2006-02-18,400.0
49,2006-02-19,400.0
50,2006-02-20,410.0
51,2006-02-21,400.0
52,2006-02-22,410.0
53,2006-02-23,410.0
54,2006-02-24,400.0
55,2006-02-25,410.0
56,2006-02-26,400.0
57,2006-02-27,390.0
58,2006-02-28,390.0
59,2006-03-01,450.0
60,2006-03-02,420.0
61,2006-03-03,380.0
62,2006-03-04,470.0
63,2006-03-05,500.0
64,2006-03-06,500.0
65,2006-03-07,530.0
66,2006-03-08,560.0
67,2006-03-09,630.0
68,2006-03-10,670.0
69,2006-03-11,950.0
70,2006-03-12,660.0
71,2006-03-13,410.0
72,2006-03-14,430.0
73,2006-03-15,430.0
74,2006-03-16,430.0
75,2006-03-17,440.0
76,2006-03-18,440.0
77,2006-03-19,450.0
78,2006-03-20,450.0
79,2006-03-21,460.0
80,2006-03-22,460.0
81,2006-03-23,460.0
82,2006-03-24,470.0
83,2006-03-25,470.0
84,2006-03-26,480.0
85,2006-03-27,480.0
86,2006-03-28,470.0
87,2006-03-29,480.0
88,2006-03-30,480.0
89,2006-03-31,470.0
90,2006-04-01,420.0
91,2006-04-02,420.0
92,2006-04-03,390.0
93,2006-04-04,480.0
94,2006-04-05,460.0
95,2006-04-06,510.0
96,2006-04-07,540.0
97,2006-04-08,560.0
98,2006-04-09,630.0
99,2006-04-10,910.0
100,2006-04-11,910.0
101,2006-04-12,660.0
102,2006-04-13,470.0
103,2006-04-14,470.0
104,2006-04-15,470.0
105,2006-04-16,470.0
106,2006-04-17,460.0
107,2006-04-18,450.0
108,2006-04-19,440.0
109,2006-04-20,440.0
110,2006-04-21,450.0
111,2006-04-22,460.0
112,2006-04-23,460.0
113,2006-04-24,460.0
114,2006-04-25,460.0
115,2006-04-26,460.0
116,2006-04-27,460.0
117,2006-04-28,460.0
118,2006-04-29,460.0
119,2006-04-30,450.0
120,2006-05-01,440.0
121,2006-05-02,410.0
122,2006-05-03,390.0
123,2006-05-04,470.0
124,2006-05-05,470.0
125,2006-05-06,510.0
126,2006-05-07,550.0
127,2006-05-08,550.0
128,2006-05-09,620.0
129,2006-05-10,490.0
130,2006-05-11,490.0
131,2006-05-12,490.0
132,2006-05-13,490.0
133,2006-05-14,490.0
134,2006-05-15,500.0
135,2006-05-16,490.0
136,2006-05-17,490.0
137,2006-05-18,490.0
138,2006-05-19,490.0
139,2006-05-20,490.0
140,2006-05-21,510.0
141,2006-05-22,510.0
142,2006-05-23,500.0
143,2006-05-24,500.0
144,2006-05-25,500.0
145,2006-05-26,500.0
146,2006-05-27,500.0
147,2006-05-28,500.0
148,2006-05-29,500.0
149,2006-05-30,510.0
150,2006-05-31,440.0
151,2006-06-01,440.0
152,2006-06-02,410.0
153,2006-06-03,400.0
154,2006-06-04,470.0
155,2006-06-05,470.0
156,2006-06-06,500.0
157,2006-06-07,550.0
158,2006-06-08,690.0
159,2006-06-09,690.0
160,2006-06-10,690.0
161,2006-06-11,485.0
162,2006-06-12,485.0
163,2006-06-13,510.0
164,2006-06-14,520.0
165,2006-06-15,520.0
166,2006-06-16,530.0
167,2006-06-17,520.0
168,2006-06-18,530.0
169,2006-06-19,530.0
170,2006-06-20,540.0
171,2006-06-21,550.0
172,2006-06-22,550.0
173,2006-06-23,540.0
174,2006-06-24,530.0
175,2006-06-25,540.0
176,2006-06-26,540.0
177,2006-06-27,550.0
178,2006-06-28,550.0
179,2006-06-29,550.0
180,2006-06-30,550.0
181,2006-07-01,430.0
182,2006-07-02,400.0
183,2006-07-03,400.0
184,2006-07-04,480.0
185,2006-07-05,480.0
186,2006-07-06,540.0
187,2006-07-07,540.0
188,2006-07-08,610.0
189,2006-07-09,610.0
190,2006-07-10,700.0
191,2006-07-11,480.0
192,2006-07-12,480.0
193,2006-07-13,550.0
194,2006-07-14,560.0
195,2006-07-15,550.0
196,2006-07-16,560.0
197,2006-07-17,560.0
198,2006-07-18,550.0
199,2006-07-19,540.0
200,2006-07-20,540.0
201,2006-07-21,540.0
202,2006-07-22,550.0
203,2006-07-23,560.0
204,2006-07-24,560.0
205,2006-07-25,550.0
206,2006-07-26,560.0
207,2006-07-27,560.0
208,2006-07-28,550.0
209,2006-07-29,540.0
210,2006-07-30,550.0
211,2006-07-31,550.0
212,2006-08-01,440.0
213,2006-08-02,480.0
214,2006-08-03,480.0
215,2006-08-04,480.0
216,2006-08-05,480.0
217,2006-08-06,510.0
218,2006-08-07,540.0
219,2006-08-08,570.0
220,2006-08-09,620.0
221,2006-08-10,710.0
222,2006-08-11,490.0
223,2006-08-12,490.0
224,2006-08-13,570.0
225,2006-08-14,570.0
226,2006-08-15,570.0
227,2006-08-16,570.0
228,2006-08-17,570.0
229,2006-08-18,570.0
230,2006-08-19,580.0
231,2006-08-20,570.0
232,2006-08-21,585.0
233,2006-08-22,585.0
234,2006-08-23,585.0
235,2006-08-24,585.0
236,2006-08-25,585.0
237,2006-08-26,595.0
238,2006-08-27,595.0
239,2006-08-28,600.0
240,2006-08-29,610.0
241,2006-08-30,600.0
242,2006-08-31,600.0
243,2006-09-01,420.0
244,2006-09-02,400.0
245,2006-09-03,400.0
246,2006-09-04,480.0
247,2006-09-05,470.0
248,2006-09-06,520.0
249,2006-09-07,535.0
250,2006-09-08,610.0
251,2006-09-09,610.0
252,2006-09-10,710.0
253,2006-09-11,1010.0
254,2006-09-12,490.0
